Wohnviertel ID	Wohnviertel Name	Anteil Familienhaushalte (%)	Differenz 2018 zu 2011 (pp)
1	Altstadt Grossbasel	33.6	2.34
2	Vorstädte	29.8	2.32
3	Am Ring	34.0	0.97
4	Breite	36.6	-1.57
5	St. Alban	42.5	-0.11
6	Gundeldingen	33.9	-0.88
7	Bruderholz	56.3	1.30
8	Bachletten	45.9	0.46
9	Gotthelf	35.3	-0.17
10	Iselin	37.2	-0.44
11	St. Johann	39.4	-0.49
12	Altstadt Kleinbasel	24.9	-0.26
13	Clara	34.9	0.40
14	Wettstein	36.3	-0.02
15	Hirzbrunnen	51.3	0.06
16	Rosental	39.7	-2.32
17	Matthäus	35.1	-2.29
18	Klybeck	42.4	-1.45
19	Kleinhüningen	49.7	0.71
20	Riehen	57.0	-1.17
30	Bettingen	60.1	-3.11
