	Median 2008	Median Basel-Stadt 2008	Median 2017	Median Basel-Stadt 2017
Altstadt GB	30057	12253	31391	20000
Vorstädte	25786	12253	48690	20000
Am Ring	23475	12253	41941	20000
Breite	10929	12253	14799	20000
St. Alban	45604	12253	65590	20000
Gundeldingen	5448	12253	13491	20000
Bruderholz	55614	12253	78357	20000
Bachletten	32293	12253	50438	20000
Gotthelf	19781	12253	30156	20000
Iselin	8147	12253	10000	20000
St. Johann	3317	12253	8508	20000
Altstadt KB	5398	12253	9591	20000
Clara	4342	12253	8430	20000
Wettstein	18102	12253	33876	20000
Hirzbrunnen	16363	12253	18864	20000
Rosental	363	12253	3866	20000
Matthäus	1483	12253	5867	20000
Klybeck	398	12253	2242	20000
Kleinhüning.	1392	12253	3415	20000
Riehen	44825	12253	60515	20000
Bettingen	51731	12253	108794	20000
