Jahr	Bezüger Kleinhüningen	Bezüger Klybeck	Sozialhilfequote Kleinhüningen	Sozialhilfequote Klybeck	Sozialhilfequote Stadt Basel
2001	182	598	7.7020736352	8.5331050228	5.3593215835
2002	195	587	7.9075425791	8.3677833215	5.5612708382
2003	242	701	9.6645367412	9.9602159704	6.3914411731
2004	283	810	11.411290323	11.566471512	7.3340214104
2005	293	849	11.4453125	12.099187687	7.9014981544
2006	317	862	12.392494136	12.103341758	7.9011078576
2007	292	833	11.487018096	11.855963564	7.2796403866
2008	281	810	11.006658833	11.366825709	6.8113986916
2009	245	842	9.2838196286	11.645919779	6.6439340834
2010	285	828	10.861280488	11.582039446	6.5512736773
2011	353	887	13.078918118	12.227736421	6.9280223784
2012	352	933	12.234966979	12.837094111	7.0554401848
2013	366	984	12.717164698	13.49054017	7.1251370219
2014	383	952	13.317107093	12.955906369	7.0527753233
2015	394	919	13.586206897	12.621892597	7.0826980946
2016	414	981	14.310404424	13.621216329	7.3096042951
2017	379	1012	13.326300985	13.949000689	7.420336505
2018	361	1002	12.631210637	13.739201974	7.2558349053
2019	320	983	11.436740529	13.582976371	6.9843180489
2020	322	899	11.463154147	12.64416315	6.7353491359
2021	322	890	11.713350309	12.802071346	6.2768273369
