""	"Zuwanderung Erwerbstätige (rechte Skala)"	"Bestand Grenzgänger"	"Bestand Meldepflichtige in VZÄ"
"2012-01"	4	77	16
"2012-02"	3	81	7
"2012-03"	2	77	13
"2012-04"	1	78	20
"2013-01"	3	77	23
"2013-02"	4	76	21
"2013-03"	3	77	25
"2013-04"	2	82	24
"2014-01"	9	76	32
"2014-02"	3	78	27
"2014-03"	7	88	19
"2014-04"	4	79	16
"2015-01"	8	83	16
"2015-02"	4	75	14
"2015-03"	2	75	7
"2015-04"	4	68	6
"2016-01"	2	68	11
"2016-02"	6	69	11
"2016-03"	""	71	6
"2016-04"	1	73	7
"2017-01"	""	75	6
"2017-02"	""	66	10
"2017-03"	1	67	17
"2017-04"	6	68	13
"2018-01"	""	60	8
"2018-02"	""	61	11
"2018-03"	3	63	11
"2018-04"	3	62	6
"2019-01"	2	61	7
"2019-02"	""	62	14
"2019-03"	1	64	15
"2019-04"	""	65	17
"2020-01"	""	56	15
"2020-02"	""	63	8
"2020-03"	2	66	27
"2020-04"	""	64	6
"2021-01"	1	62	""
"2021-02"	1	63	18
"2021-03"	1	63	26
"2021-04"	2	61	14

