""	"Lagerei"	"Erbringung von sonst. DL für den Landverkehr"	"Erbringung von sonst. DL für die Schifffahrt"	"Erbringung von sonst. DL für die Luftfahrt"	"Frachtumschlag"	"Erbringung von sonst. DL für den Verkehr a. n. g."	"Postdienste von Universaldienstleistungsanbietern"	"Sonstige Post-, Kurier- und Expressdienste"
2012	177.4	73.8	92.3	534.1	31.6	2448.9	753.8	754.5
2013	170.2	72.8	91.0	606.2	30.2	2327.8	582.0	633.0
2014	168.6	83.5	93.4	610.7	28.2	2160.0	571.2	608.4
2015	158.7	52.8	96.0	629.5	29.5	1965.7	553.5	657.1
2016	154.1	65.3	109.4	667.7	25.8	1596.5	527.3	671.1
2017	133.4	52.1	107.6	678.5	25.2	1590.2	469.7	444.5
2018	57.8	53.0	137.0	688.5	22.5	1787.9	433.3	435.7
2019	57.5	122.3	131.4	759.3	21.4	1807.4	425.0	537.6
2020	57.5	73.1	134.0	631.4	17.4	1764.8	487.9	637.5
2021	61.0	77.8	135.3	585.5	16.6	1769.8	520.7	635.3

