""	"Mittlere jährliche ALQ Lagerei u. sonst. DL für den Verkehr"	"Mittlere jährliche ALQ Post-, Kurier- und Expressdienste"	"Monatliche Anzahl AL Lagerei u. sonst. DL für den Verkehr (rechte Skala)"	"Monatliche Anzahl AL Post-, Kurier- und Expressdienste (rechte Skala)"
"2014-01"	0.081900	0.034028	74	22
"2014-02"	0.081900	0.034028	78	28
"2014-03"	0.081900	0.034028	70	30
"2014-04"	0.081900	0.034028	66	30
"2014-05"	0.081900	0.034028	64	31
"2014-06"	0.081900	0.034028	62	32
"2014-07"	0.081900	0.034028	54	24
"2014-08"	0.081900	0.034028	59	23
"2014-09"	0.081900	0.034028	63	27
"2014-10"	0.081900	0.034028	68	27
"2014-11"	0.081900	0.034028	86	22
"2014-12"	0.081900	0.034028	80	24
"2015-01"	0.084186	0.022544	88	24
"2015-02"	0.084186	0.022544	85	19
"2015-03"	0.084186	0.022544	80	17
"2015-04"	0.084186	0.022544	74	18
"2015-05"	0.084186	0.022544	76	18
"2015-06"	0.084186	0.022544	76	20
"2015-07"	0.084186	0.022544	69	17
"2015-08"	0.084186	0.022544	65	15
"2015-09"	0.084186	0.022544	59	12
"2015-10"	0.084186	0.022544	58	13
"2015-11"	0.084186	0.022544	58	18
"2015-12"	0.084186	0.022544	59	21
"2016-01"	0.068084	0.034347	61	23
"2016-02"	0.068084	0.034347	53	27
"2016-03"	0.068084	0.034347	54	26
"2016-04"	0.068084	0.034347	56	32
"2016-05"	0.068084	0.034347	56	30
"2016-06"	0.068084	0.034347	62	29
"2016-07"	0.068084	0.034347	53	25
"2016-08"	0.068084	0.034347	54	27
"2016-09"	0.068084	0.034347	53	23
"2016-10"	0.068084	0.034347	56	23
"2016-11"	0.068084	0.034347	65	29
"2016-12"	0.068084	0.034347	62	29
"2017-01"	0.080310	0.025202	63	25
"2017-02"	0.080310	0.025202	63	24
"2017-03"	0.080310	0.025202	65	24
"2017-04"	0.080310	0.025202	64	24
"2017-05"	0.080310	0.025202	75	21
"2017-06"	0.080310	0.025202	79	22
"2017-07"	0.080310	0.025202	71	19
"2017-08"	0.080310	0.025202	71	19
"2017-09"	0.080310	0.025202	67	16
"2017-10"	0.080310	0.025202	63	17
"2017-11"	0.080310	0.025202	64	14
"2017-12"	0.080310	0.025202	63	12
"2018-01"	0.072457	0.024990	66	15
"2018-02"	0.072457	0.024990	69	17
"2018-03"	0.072457	0.024990	62	19
"2018-04"	0.072457	0.024990	56	19
"2018-05"	0.072457	0.024990	55	25
"2018-06"	0.072457	0.024990	52	23
"2018-07"	0.072457	0.024990	53	21
"2018-08"	0.072457	0.024990	62	18
"2018-09"	0.072457	0.024990	55	23
"2018-10"	0.072457	0.024990	53	17
"2018-11"	0.072457	0.024990	69	18
"2018-12"	0.072457	0.024990	77	20
"2019-01"	0.061425	0.027116	64	24
"2019-02"	0.061425	0.027116	53	21
"2019-03"	0.061425	0.027116	49	27
"2019-04"	0.061425	0.027116	53	21
"2019-05"	0.061425	0.027116	50	19
"2019-06"	0.061425	0.027116	51	16
"2019-07"	0.061425	0.027116	44	19
"2019-08"	0.061425	0.027116	49	22
"2019-09"	0.061425	0.027116	49	21
"2019-10"	0.061425	0.027116	49	19
"2019-11"	0.061425	0.027116	52	21
"2019-12"	0.061425	0.027116	55	25
"2020-01"	0.074744	0.041472	53	24
"2020-02"	0.074744	0.041472	52	22
"2020-03"	0.074744	0.041472	55	25
"2020-04"	0.074744	0.041472	60	30
"2020-05"	0.074744	0.041472	59	34
"2020-06"	0.074744	0.041472	61	32
"2020-07"	0.074744	0.041472	62	38
"2020-08"	0.074744	0.041472	65	38
"2020-09"	0.074744	0.041472	66	39
"2020-10"	0.074744	0.041472	68	40
"2020-11"	0.074744	0.041472	77	37
"2020-12"	0.074744	0.041472	74	31
"2021-01"	0.089056	0.041259	76	32
"2021-02"	0.089056	0.041259	76	30
"2021-03"	0.089056	0.041259	92	33
"2021-04"	0.089056	0.041259	86	36
"2021-05"	0.089056	0.041259	84	32
"2021-06"	0.089056	0.041259	80	34
"2021-07"	0.089056	0.041259	74	29
"2021-08"	0.089056	0.041259	73	36
"2021-09"	0.089056	0.041259	63	35
"2021-10"	0.089056	0.041259	64	32
"2021-11"	0.089056	0.041259	67	30
"2021-12"	0.089056	0.041259	61	29
"2022-01"	0.079813	0.041047	61	34
"2022-02"	0.079813	0.041047	75	34
"2022-03"	0.079813	0.041047	73	31
"2022-04"	0.079813	0.041047	62	33
"2022-05"	0.079813	0.041047	68	27
"2022-06"	0.079813	0.041047	71	29
"2022-07"	0.079813	0.041047	63	30
"2022-08"	0.079813	0.041047	64	34
"2022-09"	0.079813	0.041047	61	29
"2022-10"	0.079813	0.041047	67	35
"2022-11"	0.079813	0.041047	70	37
"2022-12"	0.079813	0.041047	68	33
"2023-01"	0.079912	0.041579	69	38
"2023-02"	0.079912	0.041579	67	44
"2023-03"	0.079912	0.041579	64	40
"2023-04"	0.079912	0.041579	65	38
"2023-05"	0.079912	0.041579	63	32
"2023-06"	0.079912	0.041579	65	37
"2023-07"	0.079912	0.041579	69	31
"2023-08"	0.079912	0.041579	72	27
"2023-09"	0.079912	0.041579	73	24
"2023-10"	0.079912	0.041579	65	23
"2023-11"	0.079912	0.041579	66	24
"2023-12"	0.079912	0.041579	66	33

