""	"Monatliche Anzahl Arbeitslose"
"2010-01"	17
"2010-02"	18
"2010-03"	17
"2010-04"	17
"2010-05"	16
"2010-06"	14
"2010-07"	13
"2010-08"	13
"2010-09"	12
"2010-10"	16
"2010-11"	13
"2010-12"	12
"2011-01"	9
"2011-02"	8
"2011-03"	11
"2011-04"	12
"2011-05"	13
"2011-06"	12
"2011-07"	10
"2011-08"	8
"2011-09"	10
"2011-10"	12
"2011-11"	13
"2011-12"	14
"2012-01"	11
"2012-02"	13
"2012-03"	10
"2012-04"	10
"2012-05"	10
"2012-06"	10
"2012-07"	10
"2012-08"	10
"2012-09"	11
"2012-10"	9
"2012-11"	9
"2012-12"	10
"2013-01"	14
"2013-02"	13
"2013-03"	13
"2013-04"	13
"2013-05"	12
"2013-06"	14
"2013-07"	15
"2013-08"	13
"2013-09"	11
"2013-10"	10
"2013-11"	6
"2013-12"	3
"2014-01"	5
"2014-02"	5
"2014-03"	4
"2014-04"	4
"2014-05"	4
"2014-06"	6
"2014-07"	7
"2014-08"	8
"2014-09"	7
"2014-10"	7
"2014-11"	6
"2014-12"	6
"2015-01"	4
"2015-02"	7
"2015-03"	6
"2015-04"	4
"2015-05"	5
"2015-06"	5
"2015-07"	2
"2015-08"	3
"2015-09"	2
"2015-10"	2
"2015-11"	4
"2015-12"	5
"2016-01"	7
"2016-02"	6
"2016-03"	6
"2016-04"	6
"2016-05"	5
"2016-06"	5
"2016-07"	6
"2016-08"	6
"2016-09"	8
"2016-10"	8
"2016-11"	7
"2016-12"	7
"2017-01"	6
"2017-02"	7
"2017-03"	5
"2017-04"	5
"2017-05"	7
"2017-06"	9
"2017-07"	9
"2017-08"	8
"2017-09"	8
"2017-10"	9
"2017-11"	9
"2017-12"	9
"2018-01"	6
"2018-02"	6
"2018-03"	10
"2018-04"	12
"2018-05"	9
"2018-06"	7
"2018-07"	7
"2018-08"	5
"2018-09"	4
"2018-10"	8
"2018-11"	9
"2018-12"	7
"2019-01"	7
"2019-02"	7
"2019-03"	5
"2019-04"	5
"2019-05"	7
"2019-06"	8
"2019-07"	8
"2019-08"	8
"2019-09"	9
"2019-10"	9
"2019-11"	11
"2019-12"	10

