Kategorie	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Ganz unzufrieden	Weiss nicht	Keine Angabe
2015: Luftqualität	282	930	220	36	37	0
2019: Luftqualität	515	942	366	81	67	82
............						
2015: Zusammensetz. Bev.	315	885	156	20	82	0
2019: Zusammensetz. Bev.	435	1005	191	50	209	81
.............						
2015: Quartierleben	394	829	114	10	135	1
2019: Quartierleben	492	913	197	24	253	96
..............						
2015: Lärmsituation	441	750	235	66	5	0
2019: Lärmsituation	568	835	383	146	14	91
...............						
2015: Senioreneinrichtungen	276	802	109	7	291	0
2019: Senioreneinrichtungen	362	700	122	20	690	77
................						
2015: Schule, Bildung	388	579	98	11	263	0
2019: Schulen, Bildung	492	554	99	28	529	85
.................						
2015: Wohnungsangebot	152	551	401	80	202	0
2019: Wohnungsangebot	347	676	417	123	290	87
..................						
2015: Arbeitsplatzangebot	156	643	205	28	351	0
2019: Arbeitsplätzangebot	252	651	221	65	568	101
...................						
2015: Behinderteneinrichtungen	188	658	189	15	427	0
2019: Behinderteneinrichtungen	269	536	139	29	863	86
....................						
2015: Jugendeinrichtungen	149	662	262	16	381	0
2019: Jugendeinrichtungen	224	548	178	33	784	88
.....................						
2015: Kinderbetreuung	179	348	70	7	431	0
2019: Kinderbetreuung	297	365	135	37	761	80
