"Jahr"	"1 Zimmer"	"2 Zimmer"	"3 Zimmer"	"4 Zimmer"	"5+ Zimmer"	"Anzahl leere Wohnungen"	"LWQ alle Wohnungen (rechte Skala)"	"LWQ 1 Zimmer"	"LWQ 2 Zimmer"	"LWQ 3 Zimmer"	"LWQ 4 Zimmer"	"LWQ 5+ Zimmer"
2015	52	84	107	79	39	361	0.3365	0.4866	0.3389	0.2667	0.4189	0.3042
2016	61	107	163	77	44	452	0.4168	0.5605	0.4240	0.4026	0.4050	0.3427
2017	68	164	202	84	28	546	0.5004	0.6144	0.6449	0.4970	0.4394	0.2177
2018	117	251	267	99	48	782	0.7112	1.0442	0.9774	0.6526	0.5135	0.3726
2019	186	327	403	155	53	1124	1.0114	1.6383	1.2494	0.9772	0.7985	0.4090
2020	188	313	392	129	51	1073	0.9611	1.6385	1.1878	0.9467	0.6636	0.3931
2021	272	377	447	94	45	1235	1.0959	2.3080	1.4092	1.0740	0.4814	0.3460
2022	268	417	489	106	48	1328	1.1658	2.2341	1.5348	1.1636	0.5377	0.3691
2023	194	369	455	156	55	1229	1.0647	1.5724	1.3334	1.0737	0.7823	0.4196
2024	127	260	360	107	43	897	0.7722	1.0170	0.9329	0.8450	0.5333	0.3274

