	 2019	 2020	 gleitender Durchschnitt 2019	 gleitender Durchschnitt 2020
01. Jan	18251	19239		
02. Jan	28145	28658		
03. Jan	30352	31269		
04. Jan	32744	28132	26904	28223
05. Jan	26961	22685	28943	30400
06. Jan	20851	33391	29916	31397
07. Jan	31026	34189	30510	32334
08. Jan	32520	34476	31004	32919
09. Jan	34957	35638	31471	33193
10. Jan	34513	37827	31667	33448
11. Jan	36198	32226	32067	33690
12. Jan	30234	24607	32459	33979
13. Jan	22222	35173	32628	34175
14. Jan	33823	35880	32886	34307
15. Jan	35264	36504	33084	34447
16. Jan	36142	37009	33434	34403
17. Jan	36319	38753	33630	34339
18. Jan	37581	33202	33838	34339
19. Jan	32690	24300	33810	34228
20. Jan	23591	34725	33720	34210
21. Jan	35282	35881	33769	34249
22. Jan	35062	35727	33768	34226
23. Jan	35513	36884	33630	34414
24. Jan	36665	39021	33742	34426
25. Jan	37571	33046	33705	34482
26. Jan	31727	25612	33828	34656
27. Jan	24373	34813	33947	34752
28. Jan	35024	36273	33857	34659
29. Jan	35922	36944	33832	34668
30. Jan	36349	37553	33861	34483
31. Jan	36033	38374	33686	34608
01. Feb	37398	33110	33652	34553
02. Feb	31926	24311	33571	34476
03. Feb	23149	35689	33602	34398
04. Feb	34784	35893	33458	34460
05. Feb	35358	36403	33520	34403
06. Feb	36566	37007	33548	34531
07. Feb	35022	38807	33644	34356
08. Feb	37838	32713	33631	34423
09. Feb	32119	25203	33680	34573
10. Feb	23818	34466	33479	34741
11. Feb	34697	36360	33589	34803
12. Feb	35701	37457	33497	34841
13. Feb	35159	38180	33539	34984
14. Feb	35788	39245	33814	35037
15. Feb	37198	32978	33653	35119
16. Feb	32412	26202	33555	35079
17. Feb	25746	34835	33793	34900
18. Feb	33569	36935	33891	34862
19. Feb	35014	37176	33872	34737
20. Feb	36821	36930	33902	34240
21. Feb	36477	38977	33907	34112
22. Feb	37064	32107	33709	33939
23. Feb	32620	22722	33631	33549
24. Feb	25783	33934	33407	33307
25. Feb	32184	35724	33555	32984
26. Feb	34471	34451	33757	32487
27. Feb	35247	35237	33553	32408
28. Feb	37517	36714	33167	31770
29. Feb	#NV	28629	#NV	31364
01. Mrz	38476	22167	33276	31136
02. Mrz	31194	29468	33354	31029
03. Mrz	23080	32879	33387	30847
04. Mrz	32948	32858	33088	30870
05. Mrz	35018	34489	32931	30974
06. Mrz	35479	35437	32671	31692
07. Mrz	35418	28790	32689	32069
08. Mrz	37382	22899	32488	32452
09. Mrz	29374	34492	32494	32627
10. Mrz	23201	35519	32475	32808
11. Mrz	31541	35535	32373	32420
12. Mrz	35066	35716	32117	31808
13. Mrz	35345	36707	32228	31531
14. Mrz	34705	26069	32181	30347
15. Mrz	35589	18616	32766	28960
16. Mrz	30152	32553	33026	27639
17. Mrz	22868	27230	33047	26108
18. Mrz	35636	25826	33243	24239
19. Mrz	36889	26472	33897	23047
20. Mrz	35488	25988	34443	21823
21. Mrz	36077	12986	34964	21290
22. Mrz	40171	10277	34640	21001
23. Mrz	33972	23980	33614	20627
24. Mrz	26518	23498	33093	20423
25. Mrz	33365	23804	33000	20728
26. Mrz	29704	23853	32744	20625
27. Mrz	31846	24563	32603	20610
28. Mrz	35425	15120	32477	20755
29. Mrz	38377	9558	32477	20868
30. Mrz	32988	23874	33222	20970
31. Mrz	25637	24510	33904	21118
01. Apr	33365	24595	34018	21126
02. Apr	34913	24573	33960	21417
03. Apr	36620	25598	33998	21513
04. Apr	36225	15171		
05. Apr	37973	11598		
06. Apr	33255	24548		
