"Datum"	"Arbeitslose"	"Langzeitarbeitslose"	"Anteil Langzeitarbeitslose am Total (rechte Skala)"
"2005-01"	4401	797	0.18110
"2005-02"	4355	767	0.17612
"2005-03"	4115	762	0.18518
"2005-04"	3997	735	0.18389
"2005-05"	3876	724	0.18679
"2005-06"	3870	740	0.19121
"2005-07"	3882	738	0.19011
"2005-08"	3784	742	0.19609
"2005-09"	3829	737	0.19248
"2005-10"	3765	743	0.19734
"2005-11"	3807	738	0.19385
"2005-12"	3976	723	0.18184
"2006-01"	3997	681	0.17038
"2006-02"	4074	687	0.16863
"2006-03"	3969	668	0.16830
"2006-04"	3778	654	0.17311
"2006-05"	3585	653	0.18215
"2006-06"	3470	679	0.19568
"2006-07"	3519	687	0.19523
"2006-08"	3496	696	0.19908
"2006-09"	3461	687	0.19850
"2006-10"	3424	665	0.19422
"2006-11"	3461	660	0.19070
"2006-12"	3549	685	0.19301
"2007-01"	3639	682	0.18741
"2007-02"	3551	669	0.18840
"2007-03"	3419	645	0.18865
"2007-04"	3303	593	0.17953
"2007-05"	3197	582	0.18205
"2007-06"	3146	615	0.19549
"2007-07"	3102	611	0.19697
"2007-08"	3024	600	0.19841
"2007-09"	2858	567	0.19839
"2007-10"	2866	548	0.19121
"2007-11"	2913	546	0.18744
"2007-12"	2973	552	0.18567
"2008-01"	3074	571	0.18575
"2008-02"	3056	554	0.18128
"2008-03"	2917	534	0.18306
"2008-04"	2781	500	0.17979
"2008-05"	2759	481	0.17434
"2008-06"	2796	477	0.17060
"2008-07"	2824	479	0.16962
"2008-08"	2776	472	0.17003
"2008-09"	2840	461	0.16232
"2008-10"	2913	462	0.15860
"2008-11"	3075	448	0.14569
"2008-12"	3335	459	0.13763
"2009-01"	3402	486	0.14286
"2009-02"	3415	463	0.13558
"2009-03"	3508	465	0.13255
"2009-04"	3485	471	0.13515
"2009-05"	3496	475	0.13587
"2009-06"	3629	513	0.14136
"2009-07"	3730	538	0.14424
"2009-08"	3691	547	0.14820
"2009-09"	3825	574	0.15007
"2009-10"	3992	596	0.14930
"2009-11"	4052	645	0.15918
"2009-12"	4322	703	0.16266
"2010-01"	4416	733	0.16599
"2010-02"	4280	765	0.17874
"2010-03"	4143	810	0.19551
"2010-04"	3988	830	0.20812
"2010-05"	3877	867	0.22363
"2010-06"	3734	899	0.24076
"2010-07"	3748	902	0.24066
"2010-08"	3787	911	0.24056
"2010-09"	3777	908	0.24040
"2010-10"	3720	856	0.23011
"2010-11"	3729	858	0.23009
"2010-12"	3927	844	0.21492
"2011-01"	4026	831	0.20641
"2011-02"	3923	805	0.20520
"2011-03"	3831	774	0.20204
"2011-04"	3347	602	0.17986
"2011-05"	3253	565	0.17369
"2011-06"	3189	559	0.17529
"2011-07"	3199	547	0.17099
"2011-08"	3222	560	0.17381
"2011-09"	3249	539	0.16590
"2011-10"	3247	526	0.16200
"2011-11"	3289	522	0.15871
"2011-12"	3438	515	0.14980
"2012-01"	3599	526	0.14615
"2012-02"	3626	565	0.15582
"2012-03"	3526	556	0.15769
"2012-04"	3464	543	0.15676
"2012-05"	3421	560	0.16369
"2012-06"	3236	563	0.17398
"2012-07"	3228	563	0.17441
"2012-08"	3239	572	0.17660
"2012-09"	3307	570	0.17236
"2012-10"	3401	586	0.17230
"2012-11"	3468	595	0.17157
"2012-12"	3702	636	0.17180
"2013-01"	3853	650	0.16870
"2013-02"	3790	601	0.15858
"2013-03"	3687	600	0.16273
"2013-04"	3535	597	0.16888
"2013-05"	3390	605	0.17847
"2013-06"	3277	615	0.18767
"2013-07"	3321	613	0.18458
"2013-08"	3315	576	0.17376
"2013-09"	3348	594	0.17742
"2013-10"	3372	619	0.18357
"2013-11"	3462	628	0.18140
"2013-12"	3694	637	0.17244
"2014-01"	3714	644	0.17340
"2014-02"	3644	627	0.17206
"2014-03"	3551	620	0.17460
"2014-04"	3406	604	0.17733
"2014-05"	3206	581	0.18122
"2014-06"	3090	584	0.18900
"2014-07"	3107	562	0.18088
"2014-08"	3106	556	0.17901
"2014-09"	3173	579	0.18248
"2014-10"	3247	583	0.17955
"2014-11"	3435	568	0.16536
"2014-12"	3669	588	0.16026
"2015-01"	3853	612	0.15884
"2015-02"	3766	621	0.16490
"2015-03"	3733	591	0.15832
"2015-04"	3621	592	0.16349
"2015-05"	3518	609	0.17311
"2015-06"	3465	608	0.17547
"2015-07"	3372	606	0.17972
"2015-08"	3458	594	0.17178
"2015-09"	3593	624	0.17367
"2015-10"	3601	630	0.17495
"2015-11"	3678	629	0.17102
"2015-12"	3781	651	0.17218
"2016-01"	3947	635	0.16088
"2016-02"	4062	653	0.16076
"2016-03"	3935	658	0.16722
"2016-04"	3984	643	0.16140
"2016-05"	3856	649	0.16831
"2016-06"	3722	645	0.17329
"2016-07"	3599	667	0.18533
"2016-08"	3665	644	0.17572
"2016-09"	3649	667	0.18279
"2016-10"	3677	694	0.18874
"2016-11"	3858	724	0.18766
"2016-12"	4032	735	0.18229
"2017-01"	4181	754	0.18034
"2017-02"	4075	721	0.17693
"2017-03"	3992	716	0.17936
"2017-04"	3863	703	0.18198
"2017-05"	3652	683	0.18702
"2017-06"	3581	685	0.19129
"2017-07"	3514	672	0.19124
"2017-08"	3626	646	0.17816
"2017-09"	3455	606	0.17540
"2017-10"	3512	607	0.17284
"2017-11"	3544	598	0.16874
"2017-12"	3716	592	0.15931
"2018-01"	3790	598	0.15778
"2018-02"	3653	580	0.15877
"2018-03"	3613	535	0.14808
"2018-04"	3445	556	0.16139
"2018-05"	3324	536	0.16125
"2018-06"	3215	516	0.16050
"2018-07"	3201	515	0.16089
"2018-08"	3194	507	0.15874
"2018-09"	3128	483	0.15441
"2018-10"	3131	485	0.15490
"2018-11"	3211	450	0.14014
"2018-12"	3436	464	0.13504
"2019-01"	3562	479	0.13448
"2019-02"	3382	458	0.13542
"2019-03"	3314	478	0.14424
"2019-04"	3156	456	0.14449
"2019-05"	3013	454	0.15068
"2019-06"	2902	422	0.14542
"2019-07"	2869	424	0.14779
"2019-08"	2868	417	0.14540
"2019-09"	2770	397	0.14332
"2019-10"	2839	391	0.13772
"2019-11"	3023	409	0.13530
"2019-12"	3253	431	0.13249
"2020-01"	3345	452	0.13513
"2020-02"	3292	463	0.14064
"2020-03"	3650	508	0.13918
"2020-04"	3974	572	0.14394
"2020-05"	4114	627	0.15241
"2020-06"	4162	683	0.16410
"2020-07"	4251	765	0.17996
"2020-08"	4142	806	0.19459
"2020-09"	4053	858	0.21170
"2020-10"	4050	882	0.21778
"2020-11"	4115	872	0.21191
"2020-12"	4408	929	0.21075
"2021-01"	4510	948	0.21020
"2021-02"	4470	972	0.21745
"2021-03"	4427	1005	0.22702
"2021-04"	4237	1058	0.24970
"2021-05"	4049	1121	0.27686
"2021-06"	3934	1124	0.28571
"2021-07"	3817	1107	0.29002
"2021-08"	3709	1089	0.29361
"2021-09"	3484	1038	0.29793
"2021-10"	3354	995	0.29666
"2021-11"	3364	964	0.28656
"2021-12"	3446	958	0.27800
"2022-01"	3508	947	0.26995
"2022-02"	3445	913	0.26502
"2022-03"	3266	881	0.26975
"2022-04"	3198	872	0.27267
"2022-05"	3103	835	0.26909
"2022-06"	3004	767	0.25533
