	2019	2020	Veränderung in % (rechte Skala)
00:00	38	17	-0.54
01:00	18	7	-0.64
02:00	11	7	-0.37
03:00	11	4	-0.62
04:00	22	13	-0.41
05:00	71	46	-0.36
06:00	376	228	-0.39
07:00	960	428	-0.55
08:00	953	367	-0.62
09:00	462	230	-0.50
10:00	349	197	-0.44
11:00	432	226	-0.48
12:00	545	313	-0.43
13:00	530	306	-0.42
14:00	449	290	-0.35
15:00	496	313	-0.37
16:00	749	427	-0.43
17:00	1005	521	-0.48
18:00	859	416	-0.52
19:00	544	219	-0.60
20:00	331	105	-0.68
21:00	266	64	-0.76
22:00	216	46	-0.78
23:00	129	29	-0.77
