Tag	Wochenenden	NOx A2 Hard	NOx Feldbergstrasse	NOx Binningen	NOx St. Johann	Verkehr A2 Hard (rechte Skala)	Verkehr Feldbergstrasse (rechte Skala)
2020-2-1	1000	55.48	50.90	15.28	24.33	115964	11517
2020-2-2	1000	40.68	30.80	4.51	12.55	89003	8730
2020-2-3	0	57.83	61.94	9.07	23.38	124554	13229
2020-2-4	0	73.68	63.12	2.94	10.53	126326	12608
2020-2-5	0	73.96	103.75	20.00	27.75	132440	12848
2020-2-6	0	77.66	123.70	45.28	61.82	133914	13287
2020-2-7	0	102.42	129.83	46.75	65.21	143344	13689
2020-2-8	1000	79.51	76.79	46.61	51.73	117823	11251
2020-2-9	1000	59.59	36.11	19.25	24.15	92334	8807
2020-2-10	0	35.80	31.44	1.93	6.42	121732	13133
2020-2-11	0	68.41	67.20	2.78	13.08	128065	14155
2020-2-12	0	89.89	61.67	3.69	13.60	134358	14064
2020-2-13	0	72.83	52.41	19.68	28.19	134860	14470
2020-2-14	0	105.66	88.54	9.57	25.03	145407	14310
2020-2-15	1000	61.75	57.22	26.02	37.33	128109	10538
2020-2-16	1000	61.51	51.52	30.03	38.69	95982	8786
2020-2-17	0	99.92	86.09	7.80	22.34	129878	13026
2020-2-18	0	91.69	66.11	4.89	13.47	132792	12750
2020-2-19	0	81.79	58.33	3.93	10.71	135444	9194
2020-2-20	0	80.06	79.75	33.51	34.29	137239	8532
2020-2-21	0	86.40	99.94	8.09	26.90	147151	12609
2020-2-22	1000	74.18	96.83	29.07	48.27	131901	7861
2020-2-23	1000	59.75	51.30	7.51	17.54	93858	3730
2020-2-24	0	67.54	75.79	6.14	23.73	128545	5756
2020-2-25	0	78.83	59.24	4.48	14.34	128599	6378
2020-2-26	0	81.18	50.36	2.50	7.67	130036	6241
2020-2-27	0	68.64	46.85	5.46	18.14	129823	6277
2020-2-28	0	71.96	49.47	8.43	19.78	140103	6398
2020-2-29	1000	50.11	33.62	11.40	16.17	112454	4975
2020-3-1	1000	34.14	23.74	3.63	6.99	87813	3879
2020-3-2	0	73.56	68.45	15.76	25.81	109784	4962
2020-3-3	0	76.79	75.18	5.01	11.64	122039	5379
2020-3-4	0	63.62	80.08	14.14	24.61	126079	5328
2020-3-5	0	74.95	50.23	20.94	28.19	124850	5899
2020-3-6	0	81.43	43.60	2.86	8.74	131795	6004
2020-3-7	1000	55.64	51.57	6.43	10.62	107130	4991
2020-3-8	1000	42.31	48.02	20.44	23.58	85480	3871
2020-3-9	0	89.46	58.91	6.87	15.55	124820	6258
2020-3-10	0	77.98	82.77	33.22	43.09	124189	6380
2020-3-11	0	62.72	66.87	5.71	15.72	127969	6490
2020-3-12	0	75.69	51.11	8.63	14.51	129179	6436
2020-3-13	0	80.43	78.23	4.61	12.00	131544	6415
2020-3-14	1000	51.82	64.09	18.03	29.61	89040	7140
2020-3-15	1000	23.97	31.61	15.50	16.80	68074	6658
2020-3-16	0	69.26	86.06	21.92	30.22	108267	11036
2020-3-17	0	62.48	78.94	27.71	36.57	95949	10239
2020-3-18	0	61.22	75.29	26.42	31.65	92345	8855
2020-3-19	0	60.68	99.63	25.17	34.82	90255	9807
2020-3-20	0	56.57	75.56	23.42	31.48	89181	9265
2020-3-21	1000	34.05	43.28	16.68	14.29	38158	5685
2020-3-22	1000	9.20	13.11	5.71	7.21	25642	4480
2020-3-23	0	32.64	23.25	8.28	10.43	81579	9785
2020-3-24	0	31.24	50.47	11.51	16.08	82056	8964
2020-3-25	0	39.53	57.36	17.39	19.58	82493	9033
2020-3-26	0	48.21	66.26	18.27	21.34	83242	8928
2020-3-27	0	62.05	76.69	21.27	29.39	83995	8910
2020-3-28	1000	41.25	55.34	22.55	21.97	44203	6385
2020-3-29	1000	24.71	24.64	11.63	10.90	27551	4469
2020-3-30	0	42.46	57.06	12.38	14.44	82641	8999
2020-3-31	0	65.36	58.54	21.00	23.60	84923	8964
2020-4-1	0	60.87	73.13	18.57	24.79	83926	9033
2020-4-2	0	55.70	75.66	23.04	26.64	86008	8944
2020-4-3	0	61.95	68.80	13.80	19.78	87358	9479
2020-4-4	1000	29.43	48.54	16.48	21.04	45466	6374
2020-4-5	1000	20.43	32.31	15.75	16.34	34989	4695
2020-4-6	0	49.86	69.60	21.43	31.76	85555	8733
2020-4-7	0	51.55	59.77	21.25	30.09	87814	8930
2020-4-8	0	51.94	73.23	19.85	27.89	91416	9214
2020-4-9	0	50.99	70.46	19.96	28.02	89843	9763
2020-4-10	0	24.10	40.18	11.76	16.75	35599	5281
2020-4-11	1000	29.37	53.15	12.81	16.96	48353	7032
2020-4-12	1000	23.67	26.08	7.87	12.40	36389	5019
2020-4-13	0	19.65	24.46	5.67	8.96	36793	5093
2020-4-14	0	47.33	55.86	10.51	13.89	89019	9205
2020-4-15	0	37.12	50.26	13.59	18.55	91002	8998
2020-4-16	0	51.98	61.41	19.51	23.24	88201	8958
2020-4-17	0	44.59	66.33	17.77	19.54	92074	9385
2020-4-18	1000	24.67	40.23	7.15	11.79	49272	7003
2020-4-19	1000	20.67	26.77	8.17	10.53	38084	5365
2020-4-20	0	45.68	51.10	10.92	14.12	87495	9272
2020-4-21	0	44.29	70.55	14.65	23.01		9872
