Tag	Wochenenden	PM10 A2 Hard	PM10 Feldbergstrasse	PM10 St. Johann	PM10 Binningen	Niederschlag Binningen (mm, rechte Skala)	Windgeschwindigkeit Binningen (km/h, rechte Skala)	Temperatur Binningen (°C, rechte Skala)	
2020-2-1	1000	12.84	12.28	5.94	4.35	1.6	9.4	11.1	
2020-2-2	1000	8.23	9.44	2.93	1.35	5.2	14.8	12.7	
2020-2-3	0	21.06	22.59	19.50	18.41	1.9	20.2	13.7	
2020-2-4	0	14.81	16.52	11.97	9.55	11.8	19.1	6.3	
2020-2-5	0	11.88	15.04	8.95	7.66	0	6.1	4.3	
2020-2-6	0	14.10	18.82	15.13	14.23	0	4.7	1.8	
2020-2-7	0	17.80	22.94	20.30	17.49	0	6.1	2.1	
2020-2-8	1000	23.89	25.99	25.13	26.66	0	10.1	3.7	
2020-2-9	1000	17.30	19.47	15.94	15.20	0	17.3	8.3	
2020-2-10	0	12.33	14.50	8.93	6.35	5.7	32.8	12.6	
2020-2-11	0	10.53	12.39	6.77	4.85	9	19.1	6.4	
2020-2-12	0	10.10	13.13	7.24	4.67	0	12.2	5.5	
2020-2-13	0	11.23	13.08	7.55	6.16	11.8	17.6	5.9	
2020-2-14	0	10.02	13.26	6.85	4.93	0.7	9	7.2	
2020-2-15	1000	12.00	15.23	10.39	10.03	0	7.9	6.1	
2020-2-16	1000	13.23	15.59	11.86	12.39	0	9	9.4	
2020-2-17	0	14.47	13.29	7.06	5.21	5.5	11.9	11.0	
2020-2-18	0	10.04	12.81	6.95	4.79	0	10.4	6.7	
2020-2-19	0	8.73	11.73	5.05	3.42	1.2	14.4	6.5	
2020-2-20	0	12.97	14.62	9.03	9.82	0.1	6.8	7.6	
2020-2-21	0	10.78	14.22	7.71	5.62	0.3	8.3	6.4	
2020-2-22	1000	11.65	16.30	10.83	9.79	0	4.7	6.5	
2020-2-23	1000	10.62	14.44	7.56	5.42	0	11.2	13.2	
2020-2-24	0	11.32	14.91	8.37	6.45	0	9	13.5	
2020-2-25	0	10.92	14.05	7.06	4.62	0.6	13.7	9.9	
2020-2-26	0	7.83	10.53	4.26	2.53	6	16.6	3.4	
2020-2-27	0	9.97	11.03	5.69	3.40	2.8	17.3	4.4	
2020-2-28	0	10.79	12.97	7.05	5.55	0	9.4	5.6	
2020-2-29	1000	22.75	22.03	19.09	17.39	5.6	18.4	9.5	
2020-3-1	1000	3.61	3.16	2.25	2.01	0.4	15.1	9.6	
2020-3-2	0	9.28	6.46	4.85	4.26	3	10.8	5.7	
2020-3-3	0	7.52	8.09	6.42	4.93	0	10.8	5.5	
2020-3-4	0	10.29	9.52	7.91	6.98	0	5.4	6.0	
2020-3-5	0	12.05	6.75	6.31	6.30	12.9	14	6.8	
2020-3-6	0	4.79	4.87	3.23	2.52	0.3	20.2	6.4	
2020-3-7	1000	11.19	11.73	10.02	9.24	0	9.7	5.2	
2020-3-8	1000	12.37	11.31	11.10	10.52	1.2	7.2	5.6	
2020-3-9	0	8.15	5.48	4.23	3.49	4	10.4	6.3	
2020-3-10	0	10.46	6.61	5.96	5.52	19.6	7.2	6.3	
2020-3-11	0	9.23	5.85	4.73	2.83	0	13.3	13.7	
2020-3-12	0	10.90	8.80	7.30	5.14	1.2	14.4	11.9	
2020-3-13	0	10.62	9.00	7.17	5.89	0.6	9.7	8.3	
2020-3-14	1000	12.55	12.92	11.26	10.60	0	4	5.9	
2020-3-15	1000	12.75	11.51	11.43	11.65	0	8.3	8.7	
2020-3-16	0	17.34	15.70	12.41	12.79	0	6.1	10.6	
2020-3-17	0	19.56	17.42	15.50	16.37	0	3.6	11.4	-200
2020-3-18	0	24.34	22.47	21.27	21.27	0	5	11.9	
2020-3-19	0	35.65	33.06	30.10	29.79	0	5	12.1	
2020-3-20	0	43.90	37.71	36.51	36.14	0	4.7	12.6	
2020-3-21	1000	26.72	24.24	23.37	23.62	0.1	6.5	6.8	
2020-3-22	1000	14.14	9.93	10.36	10.31	0	19.1	5.8	
2020-3-23	0	18.28	11.75	11.65	11.97	0	18.4	3.9	
2020-3-24	0	22.64	17.62	17.71	17.69	0	13	4.2	
2020-3-25	0	32.36	25.43	27.49	26.30	0	9.7	4.2	
2020-3-26	0	30.09	26.93	27.12	27.41	0	6.5	3.8	
2020-3-27	0	42.60	36.38	35.70	36.07	0	5.4	5.4	
2020-3-28	1000	66.47	57.96	58.09	58.05	0	5	9.8	
2020-3-29	1000	31.21	25.65	26.22	25.82	4.2	11.2	5.5	
2020-3-30	0	8.93	8.33	7.52	7.25	0.4	7.9	3.4	
2020-3-31	0	14.12	11.40	11.44	11.87	0	9	4.1	
2020-4-1	0	20.46	16.52	18.19	17.20	0	5	5.3	
2020-4-2	0	27.48	23.92	22.46	23.22	0	7.2	6.9	
2020-4-3	0	26.09	23.04	21.55	21.27	0	6.1	7.4	
2020-4-4	1000	19.38	18.94	18.64	18.85	0	4.7	8.5	
2020-4-5	1000	20.05	18.82	19.06	20.12	0	4.7	11.2	
2020-4-6	0	23.66	22.08	21.95	20.27	0	4.7	13.4	
2020-4-7	0	28.98	26.20	23.96	24.05	0	6.5	14.6	
2020-4-8	0	28.01	25.82	24.10	22.89	0	4.7	14.7	
2020-4-9	0	34.13	28.86	26.54	27.22	0	4	15.3	
2020-4-10	0	28.57	27.40	26.10	26.96	0	3.6	14.9	
2020-4-11	1000	24.77	25.86	24.60	24.51	0	3.6	15.4	
2020-4-12	1000	21.18	19.55	19.06	21.73	0	6.5	16.0	
2020-4-13	0	22.07	21.85	21.54	19.02	0	7.9	15.1	
2020-4-14	0	22.89	18.59	17.40	17.29	0	6.5	8.2	
2020-4-15	0	24.89	18.27	16.75	17.93	0	6.5	11.2	
2020-4-16	0	25.54	30.00	21.34	22.70	0	5.4	14.7	
2020-4-17	0	37.71	33.86	29.23	30.36	0	5	17.2	
2020-4-18	1000	20.90	22.92	18.23	18.50	0	5.8	16.7	
