	17. März 2020	11. Mai 2020	18. Januar 2021
AR	6.5655439	1.6990111	5.13421467
JU	7.3100779	1.6042531	5.718828072
BL	7.4782644	1.2970995	5.939688097
TG	7.9494341	1.6860209	6.124865603
ZG	7.8217436	1.5595664	6.819123946
AI	9.1113106	2.6256732	6.913415583
SO	8.5896854	1.8506233	6.93230612
AG	9.1367749	1.6058095	7.087165831
OW	9.5047095	2.987967	7.252415994
NE	8.7180558	1.1681644	7.259534884
NW	10.1242289	2.5859883	7.349027636
GL	9.6130291	2.3499524	7.55351543
FR	9.839605	1.9157388	7.834748573
SG	9.6644416	2.0517229	7.909216182
UR	10.5907859	2.4552846	8.067681536
SH	9.8649826	1.7574042	8.156957026
BE	10.1746471	2.0214697	8.321757601
VD	10.3488609	1.742627	8.700963907
LU	10.2108675	2.0568453	8.712025715
ZH	10.4050215	2.0117244	8.869981688
TI	10.8770211	1.3370639	9.093223251
GE	10.4683564	1.6027956	9.312728413
SZ	12.4551172	2.5544015	9.906431363
BS	11.164291	2.6994334	9.970328587
GR	13.9211552	3.3462744	11.09622188
VS	14.9833041	2.7969891	11.87113245
