"Jahr"	"Effektiv M"	"Hohes Szenario M"	"Mittleres Szenario M"	"Tiefes Szenario M"	"Effektiv W"	"Hohes Szenario W"	"Mittleres Szenario W"	"Tiefes Szenario W"
"1986"	""	""	""	""	""	""	""	""
"1987"	74.60	""	""	""	82.98	""	""	""
"1988"	73.02	""	""	""	80.82	""	""	""
"1989"	74.43	""	""	""	79.25	""	""	""
"1990"	72.96	""	""	""	80.57	""	""	""
"1991"	76.99	""	""	""	77.09	""	""	""
"1992"	74.25	""	""	""	81.62	""	""	""
"1993"	74.90	""	""	""	81.39	""	""	""
"1994"	73.02	""	""	""	80.97	""	""	""
"1995"	73.34	""	""	""	81.50	""	""	""
"1996"	73.51	""	""	""	81.05	""	""	""
"1997"	76.09	""	""	""	81.36	""	""	""
"1998"	74.42	""	""	""	82.27	""	""	""
"1999"	76.23	""	""	""	82.62	""	""	""
"2000"	76.84	""	""	""	81.19	""	""	""
"2001"	75.38	""	""	""	80.83	""	""	""
"2002"	78.58	""	""	""	82.39	""	""	""
"2003"	78.50	""	""	""	82.61	""	""	""
"2004"	77.36	""	""	""	81.10	""	""	""
"2005"	75.52	""	""	""	83.86	""	""	""
"2006"	78.60	""	""	""	82.07	""	""	""
"2007"	78.87	""	""	""	80.95	""	""	""
"2008"	75.53	""	""	""	81.86	""	""	""
"2009"	76.96	""	""	""	82.85	""	""	""
"2010"	78.70	""	""	""	84.36	""	""	""
"2011"	79.44	""	""	""	83.99	""	""	""
"2012"	78.70	""	""	""	80.56	""	""	""
"2013"	79.41	""	""	""	83.82	""	""	""
"2014"	79.82	""	""	""	86.26	""	""	""
"2015"	79.95	""	""	""	83.60	""	""	""
"2016"	80.15	""	""	""	84.27	""	""	""
"2017"	80.35	""	""	""	86.00	""	""	""
"2018"	82.41	""	""	""	84.05	""	""	""
"2019"	80.52	""	""	""	86.45	""	""	""
"2020"	80.36	""	""	""	86.28	""	""	""
"2021"	""	81.42	80.65	79.82	""	85.59	84.89	84.21
"2022"	""	81.63	80.79	79.95	""	85.74	84.98	84.30
"2023"	""	81.82	80.93	80.07	""	85.86	85.04	84.37
"2024"	""	82.00	81.10	80.19	""	85.99	85.12	84.46
"2025"	""	82.16	81.22	80.31	""	86.08	85.21	84.53
"2026"	""	82.34	81.38	80.41	""	86.20	85.30	84.62
"2027"	""	82.47	81.51	80.51	""	86.32	85.39	84.71
"2028"	""	82.64	81.61	80.62	""	86.43	85.45	84.77
"2029"	""	82.76	81.75	80.74	""	86.54	85.51	84.84
"2030"	""	82.89	81.87	80.84	""	86.63	85.62	84.91
"2031"	""	83.03	81.98	80.94	""	86.72	85.69	84.97
"2032"	""	83.15	82.09	81.04	""	86.81	85.76	85.04
"2033"	""	83.25	82.22	81.14	""	86.90	85.82	85.13
"2034"	""	83.36	82.32	81.23	""	86.98	85.90	85.19
"2035"	""	83.47	82.42	81.32	""	87.07	85.97	85.26
"2036"	""	83.56	82.51	81.42	""	87.14	86.03	85.33
"2037"	""	83.66	82.62	81.52	""	87.23	86.12	85.39
"2038"	""	83.75	82.71	81.62	""	87.30	86.19	85.46
"2039"	""	83.82	82.79	81.71	""	87.38	86.26	85.53
"2040"	""	83.91	82.90	81.79	""	87.47	86.33	85.61
"2041"	""	84.01	82.99	81.88	""	87.52	86.40	85.69
"2042"	""	84.09	83.07	81.98	""	87.58	86.47	85.76
"2043"	""	84.17	83.15	82.06	""	87.65	86.56	85.84
"2044"	""	84.23	83.24	82.14	""	87.71	86.61	85.91
"2045"	""	84.30	83.31	82.21	""	87.77	86.67	85.96

