"Kanton"	"Jahr"	"1 Zi"	"2 Zi"	"3 Zi"	"4 Zi"	"5 Zi"	"6 u.m. Zi"	"Leerstandsquote (rechte Skala)"
"Basel-Landschaft"	2014	7	30	166	163	44	17	0.0032
"Basel-Landschaft"	2015	7	59	194	215	39	14	0.0039
"Basel-Landschaft"	2016	5	66	306	205	53	10	0.0047
"Basel-Landschaft"	2017	23	81	394	254	44	13	0.0058
"Basel-Landschaft"	2018	18	84	485	385	71	17	0.0076
"Basel-Landschaft"	2019	36	154	632	529	87	54	0.0106
"Basel-Landschaft"	2020	30	172	712	537	107	59	0.0113
"Basel-Landschaft"	2021	42	177	610	461	81	33	0.0097
"Basel-Landschaft"	2022	24	175	639	423	70	22	0.0093
"Basel-Landschaft"	2023	31	176	604	414	89	45	0.0092

