cities	Bevölkerung	Anteil Frauen (rechte Skala)	time
Basel	863543	51.010314483471	2020-01-01
Bern	421742	51.3128879741643	2020-01-01
Genf	935517	51.191907790024125	2020-01-01
Lausanne	427850	50.927895290405516	2020-01-01
Zürich	1401368	50.096191721232394	2020-01-01
Frankfurt a. M.	2729562	50.66124162045046	2020-01-01
Freiburg i. Br.	661204	51.22065202267379	2020-01-01
Karlsruhe	757161	49.604905693769226	2020-01-01
München	2927716	50.70225390714127	2020-01-01
Stuttgart	2794558	50.20793986025697	2020-01-01
Lille	1510079	51.89106000414548	2019-01-01
Lyon	2280845	51.69492008444239	2019-01-01
Metz	370889	51.24120693792482	2019-01-01
Paris	13114718	51.6913059053195	2019-01-01
Strassburg	853110	51.6991947111158	2019-01-01
Mailand	4985668	51.27266797548493	2020-01-01
Bologna	790044	51.91837416650212	2020-01-01
Lissabon	3008000	53.18337765957447	2020-01-01
Porto	1280190	53.189448441247	2020-01-01
Barcelona	5111749	51.311263522524285	2020-01-01
Madrid	7005286	52.045426839104074	2020-01-01
London	12434823	50.387705558816556	2018-01-01
