cities	Jugendquotient	Altersquotient	time
Basel	31.9	33.4	2018-01-01
Bern	30.2	32.7	2018-01-01
Genf	37.8	24.4	2018-01-01
Lausanne	34.1	25.3	2018-01-01
Zürich	30.9	26.8	2018-01-01
Frankfurt a. M.	31.4	31.5	2018-01-01
Freiburg i. Br.	31.2	31.7	2018-01-01
Karlsruhe	28.7	31.9	2018-01-01
München	30	29.7	2018-01-01
Stuttgart	31	32.3	2018-01-01
Lille	46.6	26	2017-01-01
Lyon	45	28.4	2017-01-01
Metz	39.4	30.3	2017-01-01
Paris	43.4	24.8	2017-01-01
Strassburg	40.1	29.2	2017-01-01
Mailand	31.1	37.5	2018-01-01
Bologna	28.9	41.6	2018-01-01
Lissabon	36.7	37.4	2018-01-01
Porto	31.5	32.8	2018-01-01
Barcelona	32.7	30.7	2018-01-01
Madrid	32.9	27.8	2018-01-01
London	40.1	22.3	2018-01-01
