cities	1. Sektor	2. Sektor	3. Sektor	time
Basel	4946	116559	349538	2021-01-01
Bern	7336	41290	275249	2021-01-01
Genf	5210	69179	411850	2021-01-01
Lausanne	4988	38003	232529	2021-01-01
Zürich	8998	125868	859057	2021-01-01
Frankfurt a. M.	6599	242597	1245813	2020-01-01
Freiburg i. Br.	6759	74665	245125	2020-01-01
Karlsruhe	2079	85942	311880	2020-01-01
München	11506	282496	1417390	2020-01-01
Stuttgart	10892	425309	1032270	2020-01-01
Lille	4530	93089	532071	2020-01-01
Lyon	7537	202425	845103	2020-01-01
Metz	1626	28529	131388	2020-01-01
Paris	16922	770519	5276797	2020-01-01
Strassburg	3975	73290	300553	2020-01-01
Mailand	23371	584648	1602070	2011-01-01
Bologna	10190	91792	263776	2011-01-01
Lissabon	21376	140734	382537	2021-01-01
Porto	3928	95493	419596	2020-01-01
Barcelona	5987	402556	1934407	2021-01-01
Madrid	17876	516516	3109936	2021-01-01
