cities	Männer	Frauen	time
Basel	81.4	74.4	2018-01-01
Bern	85.9	80	2018-01-01
Genf	74.8	66.4	2018-01-01
Lausanne	80	73	2018-01-01
Zürich	85.8	77.4	2018-01-01
Frankfurt a. M.	83.5	73.3	2018-01-01
Freiburg i. Br.	81.8	76.8	2018-01-01
Karlsruhe	83.7	76.8	2018-01-01
München	86.7	77.9	2018-01-01
Stuttgart	87	77.3	2018-01-01
Lille	69.9	63.5	2017-01-01
Lyon	75.2	68.1	2017-01-01
Metz	71.5	66.2	2017-01-01
Paris	76	69.6	2017-01-01
Strassburg	73.2	67.3	2017-01-01
Barcelona	73.3	66.3	2018-01-01
Madrid	75.3	65.1	2018-01-01
London	84.7	72.3	2018-01-01
