cities	Jugendquotient	Altersquotient	time
Basel	32.3	34.6	2021-01-01
Bern	30.8	34	2021-01-01
Genf	37.6	24.5	2021-01-01
Lausanne	33.8	25.2	2021-01-01
Zürich	31	27	2021-01-01
Frankfurt a. M.	31.4	31.5	2018-01-01
Freiburg i. Br.	31.2	31.7	2018-01-01
Karlsruhe	28.7	31.9	2018-01-01
München	30	29.7	2018-01-01
Stuttgart	31	32.3	2018-01-01
Lille	46	27.2	2020-01-01
Lyon	44.9	29.4	2020-01-01
Metz	39.5	32.1	2020-01-01
Paris	43.2	25.7	2020-01-01
Strassburg	40.1	30.6	2020-01-01
Mailand	31.1	37.5	2018-01-01
Bologna	28.9	41.6	2018-01-01
Lissabon	35.9	37.7	2019-01-01
Porto	31.4	33.5	2019-01-01
Barcelona	32.7	30.7	2018-01-01
Madrid	32.9	27.8	2018-01-01
