cities	Geburtenrate	Sterberate	time
Basel	9.50675213317134	9.30542172320211	2019-01-01
Bern	10.1663453987292	8.9312486613836	2019-01-01
Genf	11.3298734998378	5.92064006919667	2019-01-01
Lausanne	11.1228339558478	6.41040737408801	2019-01-01
Zürich	10.946554124709	7.32634856809424	2019-01-01
Frankfurt a. M.	10	10	2019-01-01
Freiburg i. Br.	10	9	2019-01-01
Karlsruhe	9	10	2019-01-01
München	11	8	2019-01-01
Stuttgart	10	9	2019-01-01
Lille	13	8	2017-01-01
Lyon	14	7	2017-01-01
Metz	11	9	2017-01-01
Paris	14	6	2017-01-01
Strassburg	12	8	2017-01-01
Mailand	7	10	2019-01-01
Bologna	7	11	2019-01-01
Lissabon	10	10	2019-01-01
Porto	8	9	2019-01-01
Barcelona	8	8	2019-01-01
Madrid	8	7	2019-01-01
London	13	7	2018-01-01
