cities	Obligatorische Schule	Sekundarstufe II	Tertiärstufe	time
Basel	70801.059005855	215377.600679529	177726.258127889	2018-01-01
Bern	26476.5997806426	99973.4947405782	104520.935574617	2018-01-01
Genève	93981.6008102707	163159.330507888	227015.600014051	2018-01-01
Lausanne	47672.2863551886	79416.5412469875	106716.732243217	2018-01-01
Zürich	106426.859223452	299497.654116731	380640.283604948	2018-01-01
Frankfurt a. M.	211400	773600	476000	2012-01-01
Freiburg i. Br.	41400	189500	119000	2012-01-01
Karlsruhe	63300	217300	130100	2012-01-01
München	176700	754000	638200	2012-01-01
Stuttgart	227100	743500	491100	2012-01-01
Lille	153922	290750	300146	2017-01-01
Lyon	174336	383419	467311	2017-01-01
Metz	32965	84764	71481	2017-01-01
Paris	1285780	2222279	3118664	2017-01-01
Strasbourg	68152	175486	166951	2017-01-01
Milano	971625	1226927	540532	2011-01-01
Bologna	123857	175744	104584	2011-01-01
Barcelona	906784	680173	1215376	2018-01-01
Madrid	1179851	912121	1794173	2018-01-01
London	1714197	1604794	2794470	2011-01-01
