cities	Hotelübernachtungen pro Einwohner	Bevölkerung	Hotelübernachtungen	time
Basel	8.02	171513	1374739	2018-01-01
Bern	6.23	133798	833025	2018-01-01
Genève	10.76	200548	2158493	2018-01-01
Lausanne	6.89	138905	957041	2018-01-01
Zürich	8.42	409241	3447702	2018-01-01
Frankfurt a. M.	13.59	746878	10149671	2018-01-01
Freiburg i. Br.	7.44	229636	1708237	2018-01-01
Karlsruhe	3.65	311919	1139836	2018-01-01
München	11.76	1456039	17124486	2018-01-01
Stuttgart	6.18	632743	3911781	2018-01-01
Lille	2.85	906981	2589209	2017-01-01
Lyon	4.74	1076752	5108137	2017-01-01
Metz	4.32	166252	717997	2017-01-01
Paris	6.4	9845879	62976752	2017-01-01
Strasbourg	7.89	405733	3202638	2017-01-01
Milano	8.83	1366180	12058835	2018-01-01
Bologna	7.86	389261	3059546	2018-01-01
Lisboa	26.05	506088	13184470	2018-01-01
Porto	19.07	214587	4091975	2018-01-01
Barcelona	12.89	1620343	20885095	2018-01-01
Madrid	6.65	3223334	21434152	2018-01-01
