""	"Mittlere jährliche Arbeitslosenquote"	"Monatliche Anzahl Arbeitslose (rechte Skala)"
"2013-01"	0.041727	39
"2013-02"	0.041727	39
"2013-03"	0.041727	38
"2013-04"	0.041727	39
"2013-05"	0.041727	46
"2013-06"	0.041727	39
"2013-07"	0.041727	38
"2013-08"	0.041727	44
"2013-09"	0.041727	39
"2013-10"	0.041727	35
"2013-11"	0.041727	42
"2013-12"	0.041727	46
"2014-01"	0.037071	49
"2014-02"	0.037071	44
"2014-03"	0.037071	37
"2014-04"	0.037071	35
"2014-05"	0.037071	36
"2014-06"	0.037071	36
"2014-07"	0.037071	33
"2014-08"	0.037071	34
"2014-09"	0.037071	37
"2014-10"	0.037071	33
"2014-11"	0.037071	28
"2014-12"	0.037071	28
"2015-01"	0.037589	32
"2015-02"	0.037589	32
"2015-03"	0.037589	39
"2015-04"	0.037589	34
"2015-05"	0.037589	37
"2015-06"	0.037589	37
"2015-07"	0.037589	37
"2015-08"	0.037589	38
"2015-09"	0.037589	36
"2015-10"	0.037589	39
"2015-11"	0.037589	39
"2015-12"	0.037589	36
"2016-01"	0.053193	46
"2016-02"	0.053193	51
"2016-03"	0.053193	60
"2016-04"	0.053193	58
"2016-05"	0.053193	59
"2016-06"	0.053193	55
"2016-07"	0.053193	47
"2016-08"	0.053193	46
"2016-09"	0.053193	45
"2016-10"	0.053193	49
"2016-11"	0.053193	51
"2016-12"	0.053193	50
"2017-01"	0.047158	54
"2017-02"	0.047158	53
"2017-03"	0.047158	52
"2017-04"	0.047158	53
"2017-05"	0.047158	44
"2017-06"	0.047158	47
"2017-07"	0.047158	43
"2017-08"	0.047158	44
"2017-09"	0.047158	39
"2017-10"	0.047158	40
"2017-11"	0.047158	37
"2017-12"	0.047158	41
"2018-01"	0.054745	48
"2018-02"	0.054745	53
"2018-03"	0.054745	58
"2018-04"	0.054745	57
"2018-05"	0.054745	55
"2018-06"	0.054745	51
"2018-07"	0.054745	52
"2018-08"	0.054745	54
"2018-09"	0.054745	54
"2018-10"	0.054745	48
"2018-11"	0.054745	50
"2018-12"	0.054745	55
"2019-01"	0.053279	58
"2019-02"	0.053279	65
"2019-03"	0.053279	63
"2019-04"	0.053279	60
"2019-05"	0.053279	52
"2019-06"	0.053279	50
"2019-07"	0.053279	48
"2019-08"	0.053279	44
"2019-09"	0.053279	44
"2019-10"	0.053279	44
"2019-11"	0.053279	41
"2019-12"	0.053279	49
"2020-01"	0.068539	49
"2020-02"	0.068539	57
"2020-03"	0.068539	60
"2020-04"	0.068539	58
"2020-05"	0.068539	66
"2020-06"	0.068539	72
"2020-07"	0.068539	73
"2020-08"	0.068539	70
"2020-09"	0.068539	71
"2020-10"	0.068539	75
"2020-11"	0.068539	68
"2020-12"	0.068539	76
"2021-01"	0.065694	73
"2021-02"	0.065694	76
"2021-03"	0.065694	76
"2021-04"	0.065694	70
"2021-05"	0.065694	71
"2021-06"	0.065694	71
"2021-07"	0.065694	62
"2021-08"	0.065694	58
"2021-09"	0.065694	50
"2021-10"	0.065694	51
"2021-11"	0.065694	51
"2021-12"	0.065694	53
"2022-01"	0.043882	49
"2022-02"	0.043882	51
"2022-03"	0.043882	52
"2022-04"	0.043882	55
"2022-05"	0.043882	46
"2022-06"	0.043882	41
"2022-07"	0.043882	36
"2022-08"	0.043882	35
"2022-09"	0.043882	36
"2022-10"	0.043882	36
"2022-11"	0.043882	36
"2022-12"	0.043882	36

