""	"Zuwanderung Erwerbstätige (rechte Skala)"	"Bestand Grenzgänger Nahrungs- u. Genussmittel, Getränke und Tabakerz."	"Bestand Meldepflichtige in VZÄ Industrie, Herstellung von Waren"
"2013-01"	3	1115	96
"2013-02"	3	1131	112
"2013-03"	1	1129	268
"2013-04"	3	1146	74
"2014-01"	6	1163	62
"2014-02"	7	1168	110
"2014-03"	4	1163	221
"2014-04"	3	1153	92
"2015-01"	6	1142	132
"2015-02"	5	1141	80
"2015-03"	3	1130	305
"2015-04"	1	1137	60
"2016-01"	2	1161	72
"2016-02"	10	1169	62
"2016-03"	3	1176	271
"2016-04"	2	1188	41
"2017-01"	3	1204	55
"2017-02"	7	1200	69
"2017-03"	3	1210	269
"2017-04"	6	1218	53
"2018-01"	1	1185	59
"2018-02"	3	1167	66
"2018-03"	1	1153	262
"2018-04"	5	1155	43
"2019-01"	2	1143	52
"2019-02"	4	1141	80
"2019-03"	8	1136	290
"2019-04"	5	1163	84
"2020-01"	2	1194	54
"2020-02"	2	1196	44
"2020-03"	4	1185	105
"2020-04"	3	1172	60
"2021-01"	4	1091	29
"2021-02"	3	1089	33
"2021-03"	6	1091	107
"2021-04"	4	1091	75
"2022-01"	9	1090	34
"2022-02"	5	1079	38
"2022-03"	6	1046	157
"2022-04"	9	1035	56

