	Geschwindigkeit	Alkohol	Vortrittsregelung	 Signale, Zeichengebung
1932	195	28	0	16
1933	102	14	3	27
1934	87	14	27	36
1935	65	14	18	38
1936	118	27	70	6
1937	143	22	114	5
1938	146	46	136	…
1939	137	40	94	3
1940	84	16	60	28
1941	72	23	17	22
1942	74	14	27	13
1943	65	11	16	19
1944	64	18	17	13
1945	68	16	24	18
1946	155	24	75	29
1947	215	49	72	53
1948	187	52	82	27
1949	250	55	96	38
1950	300	54	94	38
1951	295	81	150	44
1952	319	89	201	33
1953	412	98	248	49
1954	438	103	323	49
1955	566	95	339	57
1956	584	101	351	53
1957	618	126	366	70
1958	447	159	370	83
1959	506	109	405	90
1960	428	157	490	105
1961	549	165	566	107
1962	770	176	721	136
1963	943	153	833	125
1964	810	176	784	141
1965	445	173	825	155
1966	423	141	831	175
1967	375	149	821	167
1968	346	153	790	217
1969	407	218	749	280
1970	246	197	765	238
1971	296	202	805	276
1972	267	248	819	244
1973	240	176	769	272
1974	176	211	770	238
1975	221	170	659	239
1976	234	151	734	241
1977	219	132	722	188
1978	209	155	763	213
1979	261	171	710	256
1980	229	202	651	216
1981	269	197	856	228
1982	231	186	784	258
1983	235	175	908	233
1984	221	186	858	244
1985	264	179	762	239
1986	272	164	807	254
1987	248	122	764	253
1988	220	159	844	284
1989	262	152	795	329
1990	299	154	844	275
1991	333	183	853	284
1992	291	199	935	248
1993	228	227	784	295
1994	184	158	812	287
1995	209	168	914	264
1996	200	142	826	168
1997	172	130	828	176
1998	143	191	540	185
1999	157	166	653	201
2000	104	123	534	148
2001	110	141	469	145
2002	97	144	394	114
2003	98	104	346	108
2004	83	80	301	84
2005	89	118	321	132
2006	129	125	307	150
2007	121	143	307	152
2008	86	90	225	122
2009	99	112	236	114
2010	102	115	203	101
2011	81	119	159	75
2012	84	114	119	84
2013	73	122	172	84
2014	110	110	192	95
2015	104	100	189	118
2016	54	114	205	96
2017	40	100	173	78
2018	28	91	166	65
2019	37	92	160	59
2020	24	75	122	50
2021	19	82	141	27
2022	22	91	136	21
2023	20	79	153	42
