Jahr	2016	2017	2018	2019	2020
Prämienverbilligung	27228	27401	26977	29140	30133
Sozialhilfe	12004	12165	11920	11345	10943
EL zur AHV	7834	7984	8262	8606	8488
EL zur IV	7047	6895	6879	6929	6615
Beihilfen zur AHV	5373	5536	5802	6070	6205
Beihilfen zur IV	5390	5254	5241	5264	5051
Tagesbetreuung	3570	3753	3811	3856	3800
Familienmietzinsbeiträge	2129	2228	2248	2281	2300
Stipendien	2062	2004	2030	2096	2078
Behindertenhilfe		2114	2090	2176	2177
Alimentenbevorschussung	751	735	730	690	673
Stationäre Jugendhilfe	409	399	393	394	400
Arbeitslosenhilfe	50	50	50	50	50

