	 Mittelwert 2010	 Mittelwert Basel-Stadt 2010	 Mittelwert 2019	 Mittelwert Basel-Stadt 2019
Altstadt GB	949972	373331	1060310	528030
Vorstädte 	996005	373331	2555438	528030
Am Ring 	389314	373331	490730	528030
Breite 	113890	373331	157522	528030
St. Alban 	749056	373331	1059570	528030
Gundeldingen 	104176	373331	165159	528030
Bruderholz 	1977704	373331	2386857	528030
Bachletten 	372023	373331	496598	528030
Gotthelf 	657785	373331	756120	528030
Iselin 	104716	373331	138533	528030
St. Johann 	115398	373331	158868	528030
Altstadt KB	229873	373331	371463	528030
Clara 	99397	373331	191196	528030
Wettstein 	332783	373331	344841	528030
Hirzbrunnen 	166139	373331	182786	528030
Rosental 	56163	373331	89550	528030
Matthäus 	100128	373331	163750	528030
Klybeck 	54235	373331	65823	528030
Kleinhüning. 	59853	373331	75157	528030
Riehen 	550778	373331	778880	528030
Bettingen	828771	373331	2848678	528030


