Wohnviertel_ID	Wohnviertel	Mittelwert Gesamtsteuerertrag	Gesamtsteuerertrag	 Einkommenssteuer	 Vermögenssteuer
1	Altstadt GB	23416	39408660	29699747	9708913
2	Vorstädte 	39878	122704656	68816979	53887677
3	Am Ring 	14978	94930864	79868237	15062627
4	Breite 	8162	46219126	42780099	3439027
5	St. Alban 	23212	155962967	114973780	40989187
6	Gundeldingen 	8524	98832015	91392903	7439112
7	Bruderholz 	36654	189133546	103187918	85945628
8	Bachletten 	14223	115792042	96586707	19205335
9	Gotthelf 	13049	55352471	40095010	15257461
10	Iselin 	6961	69592494	64472679	5119815
11	St. Johann 	7709	83812669	76954932	6857737
12	Altstadt KB	11947	18613218	15347949	3265269
13	Clara 	7492	17867249	15906910	1960339
14	Wettstein 	13921	47791421	42523234	5268187
15	Hirzbrunnen 	8775	47535551	43659124	3876427
16	Rosental 	7797	29909104	28797071	1112033
17	Matthäus 	7720	67822947	61919960	5902987
18	Klybeck 	4588	18543402	17758562	784840
19	Kleinhüning. 	5042	7870971	7483288	387683
20	Riehen 	17027	205588506	161607634	43980872
30	Bettingen	53081	32379345	19864965	12514380




