Jahr	Winter (Dez/Jan/Feb)	Frühling (Mär/Apr/Mai)	Sommer (Jun/Jul/Aug)	Herbst (Sep/Okt/Nov)
1755	-2.4	9	17.4	8.5
1756	1.2	7.3	17.6	8.1
1757	-2	8.5	18	6.7
1758	-2	8.9	16.2	7.2
1759	0.8	9.1	18	8.6
1760	-0.4	9.3	17.7	9.5
1761	1.2	9.8	18.1	8.8
1762	-0.5	9.4	18	8
1763	-2.1	7.6	18.2	7.8
1764	3	8.1	17.7	7.9
1765	0.3	9.3	17.7	8.9
1766	-4	9.4	17.4	9
1767	-1	7.5	17.5	9.8
1768	-1.5	8.4	17.4	9.4
1769	0.7	8.7	17.1	8.4
1770	-0.4	7	16.9	10.3
1771	0.6	8.5	17.2	8.4
1772	1.4	8.9	18.5	11.2
1773	0.2	8.4	16.8	10
1774	1.8	10.6	18.2	7.9
1775	0.9	8.5	18.4	9.7
1776	-1	8.7	17.9	8.5
1777	-0.9	8.7	17.3	9.8
1778	-0.8	9.6	18.2	8.7
1779	-0.7	10.2	16.9	10.8
1780	-0.2	9.8	18.6	9.6
1781	0.6	10.7	18.4	9.2
1782	0	7.8	18.3	7
1783	1.8	9.2	18.4	9.6
1784	-2.3	8.6	17.6	8.5
1785	-1.2	5.8	16.6	9.7
1786	0.8	8.5	17.1	7.2
1787	-0.1	8.7	17.7	10
1788	2.9	10.1	18	8.2
1789	-2.7	8.8	16.4	8.4
1790	1.6	9	17.4	9.4
1791	2	9.7	18	8.1
1792	1.4	9.8	17.7	8.8
1793	1	8.4	18.1	9.3
1794	2.6	10.7	18.4	8.8
1795	-2.7	9.5	16.9	9.9
1796	2.9	7.6	16.9	9.6
1797	-0.3	9.4	17.4	9.2
1798	1.7	9.6	18	9.5
1799	-1.2	7.2	16.8	8.5
1800	-1.3	9.8	17.1	9.2
1801	1.4	9.8	16.7	9.8
1802	-0.6	9.1	18.4	10.2
1803	-1.5	8.2	18.3	8.1
1804	2	8.8	17.4	9.6
1805	-1.1	7.3	15.7	6.7
1806	2.3	8.7	17.1	9.6
1807	2	7.7	19.5	9.3
1808	-1	7.5	17.7	7.9
1809	0.5	7.5	16.6	7
1810	-2.4	9.2	16.3	10.2
1811	0.5	11.1	18.2	10.5
1812	-0.4	7.8	16.2	7.9
1813	-1.9	8.8	15.3	8
1814	-2.4	7.9	16.4	8.1
1815	1.2	10.3	16	8.1
1816	-0.9	7.6	14.4	7.6
1817	2.1	6.6	16.6	8.6
1818	0.9	8.7	17.5	8.9
1819	0.7	9.9	17.5	8.7
1820	-0.3	9.1	17.2	6.8
1821	-0.1	8.9	15.8	9.7
1822	3.1	10.9	18.9	10.4
1823	-1.4	8.6	16.3	8.1
1824	1.4	7.3	17.2	10.2
1825	1.8	8.9	17.2	9.6
1826	-0.1	8.7	19	9.5
1827	-1.9	10.3	18.2	8.7
1828	3	9.4	17.6	8.9
1829	-1.1	9	16.6	7.2
1830	-5.4	10.4	17.2	8.4
1831	0	9.8	16.9	10
1832	0.5	8.1	18	8.3
1833	0.6	8.9	16.4	8.6
1834	4.4	9.1	18.9	10.2
1835	1.2	8.4	18.1	7.3
1836	-1.4	8.7	17.4	8.6
1837	0.3	5	18.2	7.9
