"Jahr"	"Wegpendler ins Ausland"	"Wegpendler in die übrige CH"	"Wegpendler in die NWCH"	"Zupendler aus dem Ausland"	"Zupendler aus der übrigen CH"	"Zupendler aus der NWCH"	"Saldo"
2010	-269	-5129	-17321	30482	10598	50213	68574
2011	-580	-5337	-16760	32087	11742	51564	72716
2012	-512	-5251	-17692	33153	9967	52913	72578
2013	-478	-5754	-17808	33642	10869	52015	72486
2014	-508	-5324	-19355	34591	10953	53753	74110
2015	-338	-6172	-17901	34988	11227	53062	74866
2016	-453	-5731	-18349	35742	13000	52931	77140
2017	-573	-6623	-19773	35661	12383	53869	74944
"."	""	""	""	""	""	""	""
2018	-429	-5192	-19192	34299	9494	49254	68234
2019	-587	-5098	-18106	34546	9571	47226	67552
2020	-901	-4436	-16621	34321	9604	44435	66402
2021	-659	-3660	-16835	34744	8156	43564	65310

