"Jahr"	"Benzin-elektrisch: Plug-in-Hybrid"	"Diesel-elektrisch: Plug-in-Hybrid"	"Elektrisch"	"Wasserstoff"	"Total neue Inverkehrsetzungen"	"Anteil (rechte Skala)"
2005	0	0	0	0	6627	0
2006	0	0	0	0	6858	0
2007	0	0	0	0	7886	0
2008	1	0	0	0	8167	0.012244398
2009	0	0	0	0	7050	0
2010	0	0	1	0	8254	0.012115338
2011	0	0	13	0	8165	0.159216167
2012	1	0	15	0	8548	0.187178287
2013	5	4	18	0	8519	0.316938608
2014	19	1	28	0	8166	0.587803086
2015	17	2	36	0	7464	0.736870311
2016	28	1	45	10	7453	1.127062928
2017	45	1	56	0	7676	1.328817092
2018	43	0	83	0	7761	1.623502126
2019	148	0	180	0	7842	4.182606478
2020	572	2	299	0	5134	17.00428516
2021	340	8	395	2	4997	14.90894537
2022	373	6	485	3	3737	23.20042815
2023	486	16	652	1	4537	25.45735067
