"Gemeinde"	"GemeindeDescr"	"Jugendquotient"
2471	Bättwil	33.5
2472	Büren (SO)	36.4
2473	Dornach	32.7
2474	Gempen	38.2
2475	Hochwald	33.3
2476	Hofstetten-Flüh	35.2
2477	Metzerlen-Mariastein	33.8
2478	Nuglar-St. Pantaleon	30.4
2479	Rodersdorf	36.5
2480	Seewen	27.9
2481	Witterswil	32.8
2611	Bärschwil	30
2613	Breitenbach	33
2614	Büsserach	31.6
2615	Erschwil	36.9
2616	Fehren	31.3
2617	Grindel	29.7
2618	Himmelried	30.5
2619	Kleinlützel	28.9
2620	Meltingen	32.6
2621	Nunningen	32.5
2622	Zullwil	39.4
2701	Basel	26.6
2702	Bettingen	39.3
2703	Riehen	40.5
2761	Aesch (BL)	33.6
2762	Allschwil	32.9
2763	Arlesheim	35.6
2764	Biel-Benken	39.9
2765	Binningen	33.7
2766	Birsfelden	27.5
2767	Bottmingen	37.9
2768	Ettingen	34.8
2769	Münchenstein	33.2
2770	Muttenz	33.9
2771	Oberwil (BL)	36.1
2772	Pfeffingen	37.9
2773	Reinach (BL)	32.7
2774	Schönenbuch	36.9
2775	Therwil	34.5
2781	Blauen	34.1
2782	Brislach	33.4
2783	Burg im Leimental	35.9
2784	Dittingen	31.6
2785	Duggingen	33.5
2786	Grellingen	27.5
2787	Laufen	30.5
2788	Liesberg	26.8
2789	Nenzlingen	28.7
2791	Röschenz	34.7
2792	Wahlen	33.6
2793	Zwingen	31.2
2821	Arisdorf	33
2822	Augst	27.8
2823	Bubendorf	35
2824	Frenkendorf	34.5
2825	Füllinsdorf	35.2
2826	Giebenach	32.9
2827	Hersberg	30.6
2828	Lausen	31.4
2829	Liestal	31
2830	Lupsingen	39.9
2831	Pratteln	31.1
2832	Ramlinsburg	28.9
2833	Seltisberg	36.5
2834	Ziefen	42.7
2842	Böckten	36.7
2843	Buckten	34.4
2844	Buus	34.2
2845	Diepflingen	41.7
2846	Gelterkinden	34
2848	Hemmiken	26.3
2849	Itingen	35.8
2850	Känerkinden	27.6
2853	Maisprach	24.1
2854	Nusshof	33.1
2856	Ormalingen	34.9
2857	Rickenbach (BL)	30.3
2858	Rothenfluh	33.6
2859	Rümlingen	42.1
2860	Rünenberg	29.5
2861	Sissach	33.3
2862	Tecknau	32
2863	Tenniken	34.7
2864	Thürnen	28.1
2866	Wintersingen	27.8
2867	Wittinsburg	29
2869	Zunzgen	31.9
2881	Arboldswil	34.7
2882	Bennwil	43.1
2883	Bretzwil	35.2
2884	Diegten	34.1
2886	Hölstein	37.4
2887	Lampenberg	41.7
2889	Lauwil	33.5
2890	Liedertswil	35.9
2891	Niederdorf	30.7
2892	Oberdorf (BL)	35.7
2893	Reigoldswil	35.5
2894	Titterten	25.7
2895	Waldenburg	25.7
4251	Hellikon	32.1
4252	Kaiseraugst	31.7
4253	Magden	35.6
4254	Möhlin	34.5
4256	Obermumpf	29.5
4257	Olsberg	28.9
4258	Rheinfelden	29
4262	Wegenstetten	31.1
4263	Zeiningen	34.1
4264	Zuzgen	32.5
DE_08336006	Bad Bellingen	30.3
DE_08336008	Binzen	35.9
DE_08336014	Efringen-Kirchen	32.3
DE_08336019	Eimeldingen	34.2
DE_08336024	Fischingen	34.8
DE_08336034	Hasel	39.7
DE_08336036	Hausen im Wiesental	35.2
DE_08336043	Inzlingen	34.2
DE_08336045	Kandern	38.1
DE_08336050	Lörrach	33.1
DE_08336057	Maulburg	33
DE_08336069	Rheinfelden (Baden)	34.8
DE_08336073	Rümmingen	41.4
DE_08336075	Schallbach	42.8
DE_08336081	Schopfheim	33.8
DE_08336082	Schwörstadt	36.1
DE_08336084	Steinen	34.4
DE_08336091	Weil am Rhein	34.9
DE_08336100	Wittlingen	34.8
DE_08336103	Zell im Wiesental	38.2
DE_08336104	Malsburg-Marzell	31.4
DE_08336105	Grenzach-Wyhlen	36.3
DE_08336106	Häg-Ehrsberg	33
DE_08336107	Kleines Wiesental	30.8
FR_68013	Attenschwiller	36.7
FR_68021	Bartenheim	35.8
FR_68025	Bendorf	41.5
FR_68027	Berentzwiller	40.2
FR_68034	Bettlach	33.3
FR_68035	Biederthal	44.5
FR_68042	Blotzheim	36.5
FR_68049	Bouxwiller	29.4
FR_68054	Brinckheim	40.9
