"Gemeinde"	"GemeindeDescr"	"Anteil der Einpersonenhaushalte"
2471	Bättwil	24.3
2472	Büren (SO)	27.4
2473	Dornach	39.4
2474	Gempen	30.1
2475	Hochwald	24.9
2476	Hofstetten-Flüh	24.2
2477	Metzerlen-Mariastein	31.8
2478	Nuglar-St. Pantaleon	25.1
2479	Rodersdorf	23.2
2480	Seewen	37
2481	Witterswil	25
2611	Bärschwil	31.1
2613	Breitenbach	32.3
2614	Büsserach	30.5
2615	Erschwil	26.6
2616	Fehren	31.9
2617	Grindel	28
2618	Himmelried	32.6
2619	Kleinlützel	33.2
2620	Meltingen	29.5
2621	Nunningen	32.1
2622	Zullwil	34.9
2701	Basel	48.8
2702	Bettingen	27.9
2703	Riehen	36.3
2761	Aesch (BL)	33.3
2762	Allschwil	38.7
2763	Arlesheim	39.1
2764	Biel-Benken	23.7
2765	Binningen	38.8
2766	Birsfelden	46.2
2767	Bottmingen	33
2768	Ettingen	31.7
2769	Münchenstein	36.1
2770	Muttenz	35.5
2771	Oberwil (BL)	31.9
2772	Pfeffingen	21
2773	Reinach (BL)	34.7
2774	Schönenbuch	24.3
2775	Therwil	32.4
2781	Blauen	29.7
2782	Brislach	25
2783	Burg im Leimental	31.3
2784	Dittingen	35.3
2785	Duggingen	30.7
2786	Grellingen	32.1
2787	Laufen	39.3
2788	Liesberg	39.4
2789	Nenzlingen	23.2
2791	Röschenz	26.6
2792	Wahlen	26.7
2793	Zwingen	29.5
2821	Arisdorf	25
2822	Augst	42.1
2823	Bubendorf	26.4
2824	Frenkendorf	33.5
2825	Füllinsdorf	35
2826	Giebenach	24.2
2827	Hersberg	28.5
2828	Lausen	31.3
2829	Liestal	37.1
2830	Lupsingen	26.2
2831	Pratteln	37
2832	Ramlinsburg	22
2833	Seltisberg	27.8
2834	Ziefen	22.8
2842	Böckten	28.9
2843	Buckten	31.8
2844	Buus	25.2
2845	Diepflingen	27
2846	Gelterkinden	33
2848	Hemmiken	35
2849	Itingen	25.9
2850	Känerkinden	30.7
2853	Maisprach	31.9
2854	Nusshof	18.5
2856	Ormalingen	29.6
2857	Rickenbach (BL)	28.3
2858	Rothenfluh	28.6
2859	Rümlingen	25.4
2860	Rünenberg	31.9
2861	Sissach	35.4
2862	Tecknau	24.2
2863	Tenniken	25.7
2864	Thürnen	31.8
2866	Wintersingen	30.4
2867	Wittinsburg	25.6
2869	Zunzgen	31.3
2881	Arboldswil	25.7
2882	Bennwil	26
2883	Bretzwil	24.9
2884	Diegten	25.9
2886	Hölstein	27.5
2887	Lampenberg	30.7
2889	Lauwil	33.1
2890	Liedertswil	41.1
2891	Niederdorf	31.2
2892	Oberdorf (BL)	32
2893	Reigoldswil	32.9
2894	Titterten	34.5
2895	Waldenburg	42.1
4251	Hellikon	27.5
4252	Kaiseraugst	33.8
4253	Magden	26.6
4254	Möhlin	29.4
4256	Obermumpf	32.2
4257	Olsberg	26.5
4258	Rheinfelden	39.6
4262	Wegenstetten	28.4
4263	Zeiningen	26.9
4264	Zuzgen	25.8
DE_08336006	Bad Bellingen	38.9
DE_08336008	Binzen	27.7
DE_08336014	Efringen-Kirchen	28.7
DE_08336019	Eimeldingen	32.6
DE_08336024	Fischingen	25.5
DE_08336034	Hasel	28.5
DE_08336036	Hausen im Wiesental	29.7
DE_08336043	Inzlingen	36.8
DE_08336045	Kandern	31.5
DE_08336050	Lörrach	40.1
DE_08336057	Maulburg	30.4
DE_08336069	Rheinfelden (Baden)	33.5
DE_08336073	Rümmingen	27.7
DE_08336075	Schallbach	26.8
DE_08336081	Schopfheim	33.4
DE_08336082	Schwörstadt	32.4
DE_08336084	Steinen	33.4
DE_08336091	Weil am Rhein	36.9
DE_08336100	Wittlingen	29.7
DE_08336103	Zell im Wiesental	31.6
DE_08336104	Malsburg-Marzell	28.1
DE_08336105	Grenzach-Wyhlen	37
DE_08336106	Häg-Ehrsberg	25.5
DE_08336107	Kleines Wiesental	28.8
FR_68013	Attenschwiller	27.2
FR_68021	Bartenheim	28.7
FR_68025	Bendorf	21
FR_68027	Berentzwiller	19.9
FR_68034	Bettlach	23.5
FR_68035	Biederthal	25.7
FR_68042	Blotzheim	32.3
FR_68049	Bouxwiller	27.9
FR_68054	Brinckheim	19.3
FR_68061	Buschwiller	33.2
FR_68072	Dietwiller	20.8
FR_68075	Durmenach	30.7
FR_68087	Feldbach	21.2
FR_68090	Ferrette	42.2
FR_68092	Fislis	29.9
FR_68094	Folgensbourg	29.8
FR_68096	Franken	25.9
FR_68103	Geispitzen	25.6
FR_68120	Hagenthal-le-Bas	28.8
FR_68121	Hagenthal-le-Haut	21.9
FR_68124	Hausgauen	25.6
FR_68126	Hégenheim	32
FR_68132	Helfrantzkirch	23.5
FR_68135	Hésingue	31
FR_68148	Hundsbach	24.1
FR_68149	Huningue	41.4
FR_68158	Jettingen	28.9
FR_68160	Kappelen	23
FR_68163	Kembs	30.7
FR_68168	Knoeringue	25.5
FR_68170	Koetzingue	22.4
FR_68182	Leymen	33.5
FR_68183	Liebenswiller	25.3
FR_68186	Ligsdorf	31.3
FR_68187	Linsdorf	16.7
FR_68194	Lutter	33.6
FR_68197	Magstatt-le-Bas	18.9
FR_68198	Magstatt-le-Haut	15.4
FR_68207	Michelbach-le-Bas	24.4
FR_68208	Michelbach-le-Haut	27
FR_68221	Muespach	25.1
FR_68222	Muespach-le-Haut	22
FR_68232	Neuwiller	38.6
FR_68238	Niffer	18.3
FR_68240	Illtal	25.8
FR_68245	Obermorschwiller	20.1
FR_68248	Oltingue	35.1
FR_68254	Petit-Landau	20.8
FR_68259	Raedersdorf	26.9
FR_68263	Ranspach-le-Bas	32.7
FR_68264	Ranspach-le-Haut	22.6
FR_68265	Rantzwiller	21.7
FR_68273	Riespach	25
FR_68284	Roppentzwiller	28.5
FR_68286	Rosenau	31.3
FR_68288	Ruederbach	26.5
FR_68297	Saint-Louis	41.7
FR_68309	Sierentz	37.4
FR_68312	Sondersdorf	23.7
FR_68325	Steinsoultz	28.6
FR_68327	Stetten	20.9
FR_68341	Uffheim	24.3
FR_68347	Vieux-Ferrette	25.8
FR_68349	Village-Neuf	33.9
FR_68353	Wahlbach	23.7
FR_68355	Waldighofen	33.8
FR_68357	Waltenheim	20.2
FR_68362	Wentzwiller	27.8
FR_68363	Werentzhouse	27.5
FR_68371	Willer	22.7
FR_68380	Wolschwiller	27.7
FR_68382	Zaessingue	20.3
