Jahr	Benzin-elektrisch: Normal-Hybrid	Benzin-elektrisch: Plug-in-Hybrid	Diesel-elektrisch: Normal-Hybrid	Diesel-elektrisch: Plug-in-Hybrid	Elektrisch	Anteil (rechte Skala)
2005	0	0	0	0	0	0
2006	21	0	0	0	0	0.31
2007	56	0	0	0	0	0.71
2008	56	1	0	0	0	0.7
2009	71	0	0	0	0	1.01
2010	69	0	0	0	1	0.85
2011	93	0	0	0	13	1.3
2012	102	1	10	0	15	1.5
2013	133	5	5	4	18	1.94
2014	87	19	3	1	28	1.69
2015	112	17	24	2	36	2.56
2016	100	28	13	1	45	2.51
2017	112	45	2	1	56	2.81
2018	152	43	21	0	83	3.85
2019	346	148	117	4	180	10.14
2020	404	571	204	3	299	28.85
