Jahr	Total Studierende	Total Studenten	Total Studentinnen	Internationale Studenten	Schweizer Studenten	Internationale Studentinnen	Schweizer Studentinnen
1900	525	520	5	0	520	0	5
1901	529	521	8	0	521	0	8
1902	560	550	10	0	550	0	10
1903	542	531	11	0	531	0	11
1904	512	499	13	0	499	0	13
1905	539	528	11	0	528	0	11
1906	580	566	14	0	566	0	14
1907	605	589	16	0	589	0	16
1908	621	600	21	0	600	0	21
1909	669	648	21	0	648	0	21
1910	692	668	24	0	668	0	24
1911	772	733	39	0	733	0	39
1912	825	779	46	0	779	0	46
1913	935	887	48	0	887	0	48
1914	959	901	58	0	901	0	58
1915	980	928	52	0	928	0	52
1916	863	814	49	0	814	0	49
1917	915	857	58	0	857	0	58
1918	982	903	79	0	903	0	79
1919	1070	988	82	0	988	0	82
1920	1034	948	86	171	777	10	76
1921	1000	914	86	136	778	11	75
1922	919	839	80	116	723	11	69
1923	1005	901	104	142	759	18	86
1924	1117	975	142	238	737	44	98
1925	1115	981	134	256	725	44	90
1926	1133	1004	129	271	733	37	92
1927	1110	977	133	269	708	43	90
1928	1065	936	129	274	662	35	94
1929	1050	931	119	266	665	35	84
1930	1047	930	117	299	631	44	73
1931	1137	1001	136	313	688	44	92
1932	1206	1048	158	356	692	52	106
1933	1518	1294	224	521	773	100	124
1934	1492	1242	250	461	781	101	149
1935	1488	1235	253	390	845	89	164
1936	1482	1235	247	331	904	74	173
1937	1468	1208	260	264	944	67	193
1938	1612	1342	270	287	1055	69	201
1939	1512	1263	249	182	1081	45	204
1940	1598	1340	258	123	1217	46	212
1941	1700	1446	254	129	1317	33	221
1942	1778	1471	307	114	1357	38	269
1943	1833	1526	307	137	1389	38	269
1944	1929	1615	314	173	1442	41	273
1945	1988	1674	314	162	1512	50	264
1946	2126	1766	360	271	1495	88	272
1947	2155	1767	388	360	1407	119	269
1948	2180	1814	366	405	1409	125	241
1949	2036	1696	340	362	1334	89	251
1950	1983	1683	300	381	1302	78	222
1951	1975	1665	310	377	1288	75	235
1952	1951	1674	277	396	1278	61	216
1953	1987	1692	295	400	1292	74	221
1954	2006	1719	287	435	1284	64	223
1955	1972	1675	297	462	1213	67	230
1956	1991	1683	308	485	1198	65	243
1957	2098	1785	313	533	1252	63	250
1958	2134	1765	369	539	1226	98	271
1959	2270	1879	391	639	1240	121	270
1960	2421	1983	438	714	1269	159	279
1961	2800	2297	503	849	1448	182	321
1962	2894	2347	547	854	1493	185	362
1963	3194	2564	630	859	1705	195	435
1964	3473	2775	698	875	1900	195	503
1965	3767	2964	803	865	2099	219	584
1966	3719	2896	823	785	2111	221	602
1967	3736	2959	777	734	2225	191	586
1968	4013	3169	844	755	2414	204	640
1969	4314	3366	948	738	2628	219	729
1970	4376	3396	980	658	2738	194	786
1971	4585	3528	1057	605	2923	195	862
1972	4749	3626	1123	565	3061	203	920
1973	4946	3732	1214	507	3225	201	1013
1974	5150	3856	1294	474	3382	209	1085
1975	5336	3975	1361	438	3537	204	1157
1976	5474	4010	1464	407	3603	193	1271
1977	5541	3992	1549	370	3622	185	1364
1978	5577	3931	1646	357	3574	194	1452
1979	5623	3924	1699	337	3587	193	1506
1980	5715	3942	1773	343	3599	212	1561
1981	6030	4072	1958	369	3703	263	1695
1982	6310	4241	2069	381	3860	280	1789
1983	6448	4258	2190	411	3847	289	1901
1984	6466	4226	2240	422	3804	304	1936
1985	6543	4183	2360	439	3744	320	2040
1986	6676	4310	2366	485	3825	316	2050
1987	6713	4285	2428	510	3775	327	2101
1988	6685	4200	2485	566	3634	352	2133
1989	6762	4147	2615	610	3537	377	2238
1990	6808	4094	2714	651	3443	408	2306
1991	7281	4271	3010	732	3539	467	2543
1992	7541	4392	3149	780	3612	536	2613
1993	7939	4548	3391	821	3727	600	2791
1994	8031	4579	3452	819	3760	618	2834
1995	7991	4530	3461	830	3700	596	2865
1996	7958	4459	3499	787	3672	606	2893
1997	7988	4431	3557	814	3617	612	2945
1998	7916	4344	3572	798	3546	596	2976
1999	7788	4207	3581	799	3408	608	2973
2000	7612	4032	3580	801	3231	626	2954
2001	7666	3908	3758	763	3145	696	3062
2002	8036	3954	4082	833	3121	801	3281
2003	8720	4199	4521	887	3312	868	3653
2004	9228	4331	4897	938	3393	970	3927
2005	9963	4555	5408	979	3576	1092	4316
2006	10639	4774	5865	1055	3719	1269	4596
2007	11207	4964	6243	1096	3868	1397	4846
2008	11836	5263	6573	1204	4059	1521	5052
2009	12109	5396	6713	1311	4085	1626	5087
2010	12377	5514	6863	1385	4129	1751	5112
2011	12617	5613	7004	1499	4114	1800	5204
2012	12995	5837	7158	1586	4251	1891	5267
2013	13273	5989	7284	1668	4321	1912	5372
2014	13248	5971	7277	1665	4306	1891	5386
2015	13430	5946	7484	1682	4264	1953	5531
2016	13430	5943	7487	1687	4256	1949	5538
2017	13458	5951	7507	1730	4221	1987	5520
2018	13157	5742	7415	1677	4065	1960	5455
2019	13365	5748	7617	1679	4069	2036	5581
2020	13632	5752	7880	1671	4081	2104	5776
2021	13499	5731	7768	1703	4028	2136	5632
2022	13333	5600	7733	1742	3858	2254	5479
2023	13452	5641	7811	1781	3860	2280	5531
2024	13744	5684	8060	1842	3842	2449	5611
