"Codegeo"	"GemeindeDescr"	"Jugendquotient"
08336006	Bad Bellingen	26.7
08336008	Binzen	40.1
08336014	Efringen-Kirchen	31.6
08336019	Eimeldingen	33.3
08336024	Fischingen	35.3
08336034	Hasel	35.6
08336036	Hausen im Wiesental	35
08336043	Inzlingen	30.5
08336045	Kandern	33.5
08336050	Lörrach	31.7
08336057	Maulburg	31
08336069	Rheinfelden (Baden)	33.1
08336073	Rümmingen	38.7
08336075	Schallbach	36
08336081	Schopfheim	32.5
08336082	Schwörstadt	33.3
08336084	Steinen	33.6
08336091	Weil am Rhein	34.9
08336100	Wittlingen	31.2
08336103	Zell im Wiesental	34.6
08336104	Malsburg-Marzell	30.2
08336105	Grenzach-Wyhlen	33.1
08336106	Häg-Ehrsberg	32.6
08336107	Kleines Wiesental	29.2
11042471	Bättwil	34.3
11042472	Büren (SO)	36.8
11042473	Dornach	32.1
11042474	Gempen	39.4
11042475	Hochwald	31.8
11042476	Hofstetten-Flüh	35.2
11042477	Metzerlen-Mariastein	29.3
11042478	Nuglar-St. Pantaleon	30.9
11042479	Rodersdorf	35.1
11042480	Seewen	26.7
11042481	Witterswil	31.3
11102611	Bärschwil	26.6
11102613	Breitenbach	33.1
11102614	Büsserach	32.2
11102616	Fehren	35.1
11102618	Himmelried	27.9
11102619	Kleinlützel	33.8
11102620	Meltingen	34.5
11102621	Nunningen	33.2
11102622	Zullwil	45.1
12002701	Basel	26.3
12002702	Bettingen	34.7
12002703	Riehen	38.1
13012761	Aesch (BL)	31.9
13012762	Allschwil	30.8
13012763	Arlesheim	36.4
13012764	Biel-Benken	41.9
13012765	Binningen	32.7
13012766	Birsfelden	27.2
13012767	Bottmingen	37
13012768	Ettingen	32.5
13012769	Münchenstein	31.1
13012770	Muttenz	32.6
13012771	Oberwil (BL)	35.2
13012772	Pfeffingen	34.5
13012773	Reinach (BL)	32.6
13012774	Schönenbuch	34.3
13012775	Therwil	35.6
13022781	Blauen	29.1
13022782	Brislach	34.2
13022783	Burg im Leimental	32.2
13022784	Dittingen	33.6
13022785	Duggingen	34
13022786	Grellingen	27.8
13022787	Laufen	32
13022789	Nenzlingen	32.8
13022791	Röschenz	34.7
13022792	Wahlen	32.4
13022793	Zwingen	31.7
13032821	Arisdorf	34.7
13032822	Augst	21
13032823	Bubendorf	31.3
13032824	Frenkendorf	32.6
13032825	Füllinsdorf	31.9
13032826	Giebenach	31.1
13032827	Hersberg	35.1
13032828	Lausen	31.3
13032829	Liestal	33.2
13032830	Lupsingen	42.1
13032831	Pratteln	30
13032832	Ramlinsburg	28.1
13032833	Seltisberg	35.6
13032834	Ziefen	39.7
13042842	Böckten	34.1
13042843	Buckten	36.6
13042844	Buus	33.8
13042845	Diepflingen	39.8
13042846	Gelterkinden	33
13042848	Hemmiken	25
13042849	Itingen	37.2
13042850	Känerkinden	32.2
13042853	Maisprach	26.2
13042854	Nusshof	36.1
13042856	Ormalingen	31.1
13042857	Rickenbach (BL)	36.2
13042859	Rümlingen	39.3
13042860	Rünenberg	33.3
13042861	Sissach	32.5
13042862	Tecknau	32.8
13042863	Tenniken	31.7
13042864	Thürnen	31.1
13042865	Wenslingen	35.1
13042866	Wintersingen	23.5
13042867	Wittinsburg	39.1
13042869	Zunzgen	28.6
13052881	Arboldswil	37.4
13052882	Bennwil	39.2
13052883	Bretzwil	36.6
13052884	Diegten	34.8
13052886	Hölstein	35.1
13052887	Lampenberg	38.4
13052889	Lauwil	35.8
13052891	Niederdorf	31.9
13052892	Oberdorf (BL)	35.8
13052893	Reigoldswil	36
13052894	Titterten	32.3
19094251	Hellikon	30.9
19094252	Kaiseraugst	32
19094253	Magden	36.6
19094254	Möhlin	34.1
19094255	Mumpf	26.5
19094256	Obermumpf	28.6
19094257	Olsberg	24.8
19094258	Rheinfelden	28.4
19094262	Wegenstetten	36
19094263	Zeiningen	33.2
19094264	Zuzgen	31.2
99968013	Attenschwiller	36.9
99968021	Bartenheim	35.1
99968025	Bendorf	40.9
99968027	Berentzwiller	39.7
99968034	Bettlach	35
99968035	Biederthal	39.9
99968042	Blotzheim	37.2
99968049	Bouxwiller	30.6
99968054	Brinckheim	43.7
99968061	Buschwiller	37.7
99968075	Durmenach	37.8
99968080	Emlingen	42.2
99968087	Feldbach	43.5
99968090	Ferrette	38.4
99968092	Fislis	41.4
99968094	Folgensbourg	51.3
99968096	Franken	42.2
99968103	Geispitzen	41.9
99968120	Hagenthal-le-Bas	37.7
99968121	Hagenthal-le-Haut	39.4
99968124	Hausgauen	33.3
99968126	Hégenheim	37.8
99968131	Heiwiller	29.4
99968132	Helfrantzkirch	31.8
99968135	Hésingue	41.9
99968148	Hundsbach	48.1
99968149	Huningue	40.5
99968158	Jettingen	36.2
99968160	Kappelen	34.5
99968163	Kembs	37.3
99968168	Knœringue	34.7
99968169	Kœstlach	37.9
99968170	Kœtzingue	36.5
99968182	Leymen	36.4
99968183	Liebenswiller	25.9
99968186	Ligsdorf	35.8
99968187	Linsdorf	32.8
99968194	Lutter	32.9
99968197	Magstatt-le-Bas	44.7
99968198	Magstatt-le-Haut	37
99968207	Michelbach-le-Bas	25.3
99968208	Michelbach-le-Haut	34.9
99968221	Muespach	41.1
99968222	Muespach-le-Haut	38.4
99968232	Neuwiller	29.2
99968238	Niffer	43.8
99968240	Illtal	35.2
99968248	Oltingue	30.8
99968254	Petit-Landau	44.9
99968259	Raedersdorf	38.2
99968263	Ranspach-le-Bas	32.1
99968264	Ranspach-le-Haut	40
99968265	Rantzwiller	38.5
99968273	Riespach	28
99968284	Roppentzwiller	35.3
99968286	Rosenau	37.3
99968297	Saint-Louis	42.3
99968309	Sierentz	36.3
99968312	Sondersdorf	35.3
99968325	Steinsoultz	39.5
99968327	Stetten	43.4
99968333	Tagsdorf	41.4
99968341	Uffheim	36.1
99968347	Vieux-Ferrette	47.5
99968349	Village-Neuf	41.3
99968353	Wahlbach	41.5
99968355	Waldighofen	39.6
99968357	Waltenheim	37.8
99968362	Wentzwiller	37.3
99968363	Werentzhouse	31.8
99968380	Wolschwiller	30
99968382	Zaessingue	43.4
