"Codegeo"	"GemeindeDescr"	"Anteil der Einpersonenhaushalte"
08336006	Bad Bellingen	38.9
08336008	Binzen	27.7
08336014	Efringen-Kirchen	28.7
08336019	Eimeldingen	32.6
08336024	Fischingen	25.5
08336034	Hasel	28.5
08336036	Hausen im Wiesental	29.7
08336043	Inzlingen	36.8
08336045	Kandern	31.5
08336050	Lörrach	40.1
08336057	Maulburg	30.4
08336069	Rheinfelden (Baden)	33.5
08336073	Rümmingen	27.7
08336075	Schallbach	26.8
08336081	Schopfheim	33.4
08336082	Schwörstadt	32.4
08336084	Steinen	33.4
08336091	Weil am Rhein	36.9
08336100	Wittlingen	29.7
08336103	Zell im Wiesental	31.6
08336104	Malsburg-Marzell	28.1
08336105	Grenzach-Wyhlen	37
08336106	Häg-Ehrsberg	25.5
08336107	Kleines Wiesental	28.8
11042471	Bättwil	23.2
11042472	Büren (SO)	25.1
11042473	Dornach	37.9
11042474	Gempen	26.8
11042475	Hochwald	22.6
11042476	Hofstetten-Flüh	24
11042477	Metzerlen-Mariastein	30.2
11042478	Nuglar-St. Pantaleon	25.6
11042479	Rodersdorf	23.6
11042480	Seewen	35.4
11042481	Witterswil	23.8
11102611	Bärschwil	28.7
11102613	Breitenbach	28.9
11102614	Büsserach	30
11102616	Fehren	29
11102618	Himmelried	32.6
11102619	Kleinlützel	29.7
11102620	Meltingen	24.3
11102621	Nunningen	30.8
11102622	Zullwil	34.2
12002701	Basel	48
12002702	Bettingen	31.3
12002703	Riehen	35.7
13012761	Aesch (BL)	31.6
13012762	Allschwil	37.8
13012763	Arlesheim	37.6
13012764	Biel-Benken	22.6
13012765	Binningen	37.7
13012766	Birsfelden	43.7
13012767	Bottmingen	32.7
13012768	Ettingen	31.1
13012769	Münchenstein	35.2
13012770	Muttenz	34.2
13012771	Oberwil (BL)	31.1
13012772	Pfeffingen	19.9
13012773	Reinach (BL)	33.1
13012774	Schönenbuch	24.2
13012775	Therwil	29.9
13022781	Blauen	26.7
13022782	Brislach	24.2
13022783	Burg im Leimental	31.8
13022784	Dittingen	35.7
13022785	Duggingen	30.5
