"Codegeo"	"GemeindeDescr"	"Personenwagen pro 1000 Einwohner"
08336006	Bad Bellingen	617.8
08336008	Binzen	725.2
08336014	Efringen-Kirchen	679
08336019	Eimeldingen	660.2
08336024	Fischingen	655.7
08336034	Hasel	665.5
08336036	Hausen im Wiesental	569.4
08336043	Inzlingen	656.6
08336045	Kandern	650.8
08336050	Lörrach	536.7
08336057	Maulburg	661.1
08336069	Rheinfelden (Baden)	599.4
08336073	Rümmingen	649.8
08336075	Schallbach	657.6
08336081	Schopfheim	596.9
08336082	Schwörstadt	619.6
08336084	Steinen	631.7
08336091	Weil am Rhein	558.4
08336100	Wittlingen	690.4
08336103	Zell im Wiesental	549.4
08336104	Malsburg-Marzell	710.4
08336105	Grenzach-Wyhlen	598.9
08336106	Häg-Ehrsberg	713.6
08336107	Kleines Wiesental	731.5
11042471	Bättwil	625.2
11042472	Büren (SO)	577
11042473	Dornach	483
11042474	Gempen	609.3
11042475	Hochwald	682.9
11042476	Hofstetten-Flüh	590.5
11042477	Metzerlen-Mariastein	704.9
11042478	Nuglar-St. Pantaleon	594.1
11042479	Rodersdorf	564.4
11042480	Seewen	712.9
11042481	Witterswil	555.8
11102611	Bärschwil	616.7
11102613	Breitenbach	565.4
11102614	Büsserach	624
11102616	Fehren	600.3
11102618	Himmelried	652.6
11102619	Kleinlützel	592.9
11102620	Meltingen	586.8
11102621	Nunningen	651
11102622	Zullwil	591.3
12002701	Basel	319.8
12002702	Bettingen	455.7
12002703	Riehen	399.9
13012761	Aesch (BL)	555.8
13012762	Allschwil	441
13012763	Arlesheim	514.1
13012764	Biel-Benken	604.7
13012765	Binningen	434.9
13012766	Birsfelden	398.3
13012767	Bottmingen	487.4
13012768	Ettingen	504.7
13012769	Münchenstein	484.2
13012770	Muttenz	467.9
13012771	Oberwil (BL)	489.1
13012772	Pfeffingen	621.8
13012773	Reinach (BL)	509.6
13012774	Schönenbuch	630.9
13012775	Therwil	488.3
13022781	Blauen	722.5
13022782	Brislach	624.4
13022783	Burg im Leimental	673.9
13022784	Dittingen	603.1
13022785	Duggingen	555.9
13022786	Grellingen	540.4
13022787	Laufen	516.7
13022789	Nenzlingen	641.8
13022791	Röschenz	591.5
13022792	Wahlen	602.3
13022793	Zwingen	639.2
13032821	Arisdorf	660
13032822	Augst	621.9
13032823	Bubendorf	535
13032824	Frenkendorf	537
13032825	Füllinsdorf	573.7
13032826	Giebenach	670.8
13032827	Hersberg	736.4
13032828	Lausen	549.4
13032829	Liestal	528
13032830	Lupsingen	550.3
13032831	Pratteln	514.5
13032832	Ramlinsburg	680.8
13032833	Seltisberg	572.1
13032834	Ziefen	530.4
13042842	Böckten	650.9
13042843	Buckten	657.5
13042844	Buus	577.2
13042845	Diepflingen	584.3
13042846	Gelterkinden	504.5
13042848	Hemmiken	596.1
13042849	Itingen	538.7
13042850	Känerkinden	681.1
13042853	Maisprach	586
13042854	Nusshof	656.5
13042856	Ormalingen	590.4
13042857	Rickenbach (BL)	610.3
13042859	Rümlingen	651.2
13042860	Rünenberg	635.4
13042861	Sissach	525.6
13042862	Tecknau	523.2
13042863	Tenniken	613.1
13042864	Thürnen	566.3
13042865	Wenslingen	568
13042866	Wintersingen	721.6
13042867	Wittinsburg	617.3
13042869	Zunzgen	565.1
13052881	Arboldswil	631
13052882	Bennwil	674.7
13052883	Bretzwil	605.6
13052884	Diegten	605.3
13052886	Hölstein	589.2
13052887	Lampenberg	663.4
13052889	Lauwil	619
13052891	Niederdorf	606.2
13052892	Oberdorf (BL)	553.9
13052893	Reigoldswil	522.7
13052894	Titterten	611
19094251	Hellikon	670.1
19094252	Kaiseraugst	547.3
19094253	Magden	595.6
19094254	Möhlin	565.9
19094255	Mumpf	652.9
19094256	Obermumpf	665.7
19094257	Olsberg	739.6
19094258	Rheinfelden	492.4
19094262	Wegenstetten	634.6
19094263	Zeiningen	651
19094264	Zuzgen	674.8
99968013	Attenschwiller	720.1
99968021	Bartenheim	707.8
99968025	Bendorf	766.9
99968027	Berentzwiller	715.5
99968034	Bettlach	807.7
99968035	Biederthal	693.5
99968042	Blotzheim	703.7
99968049	Bouxwiller	651.5
99968054	Brinckheim	709.8
99968061	Buschwiller	714.2
99968075	Durmenach	702.7
99968080	Emlingen	692.1
99968087	Feldbach	739.7
99968090	Ferrette	588.7
99968092	Fislis	735.4
99968094	Folgensbourg	676.9
99968096	Franken	719.3
99968103	Geispitzen	755
99968120	Hagenthal-le-Bas	728.5
99968121	Hagenthal-le-Haut	708.2
99968124	Hausgauen	789.5
99968126	Hégenheim	674.4
99968131	Heiwiller	721.2
99968132	Helfrantzkirch	772.3
99968135	Hésingue	680.1
99968148	Hundsbach	643.5
99968149	Huningue	556.7
99968158	Jettingen	754
99968160	Kappelen	782.9
99968163	Kembs	714.2
99968168	Knœringue	760.6
99968169	Kœstlach	677.9
99968170	Kœtzingue	737.2
99968182	Leymen	669.1
99968183	Liebenswiller	754.1
99968186	Ligsdorf	781.8
99968187	Linsdorf	750.8
99968194	Lutter	756.2
99968197	Magstatt-le-Bas	699
99968198	Magstatt-le-Haut	695.8
99968207	Michelbach-le-Bas	786.2
99968208	Michelbach-le-Haut	752.1
99968221	Muespach	694.4
99968222	Muespach-le-Haut	723.7
99968232	Neuwiller	764.5
99968238	Niffer	721.7
99968240	Illtal	740.7
99968248	Oltingue	747.4
99968254	Petit-Landau	701.3
99968259	Raedersdorf	726.2
99968263	Ranspach-le-Bas	779.5
99968264	Ranspach-le-Haut	703.8
99968265	Rantzwiller	745.3
99968273	Riespach	640.8
99968284	Roppentzwiller	666.7
99968286	Rosenau	737.7
99968297	Saint-Louis	507.7
99968309	Sierentz	662.9
99968312	Sondersdorf	748.4
99968325	Steinsoultz	755.2
99968327	Stetten	751.4
99968333	Tagsdorf	719.6
99968341	Uffheim	734.7
99968347	Vieux-Ferrette	642.1
99968349	Village-Neuf	657.1
99968353	Wahlbach	706.7
99968355	Waldighofen	672.7
99968357	Waltenheim	735.4
99968362	Wentzwiller	719.8
99968363	Werentzhouse	756.4
99968380	Wolschwiller	781
99968382	Zaessingue	699.2
