""	"Bestand Grenzgänger"	"Bestand Meldepflichtige in VZÄ Handel, Reparatur"
"2015-01"	218	54
"2015-02"	196	35
"2015-03"	195	66
"2015-04"	190	85
"2016-01"	197	73
"2016-02"	179	54
"2016-03"	182	59
"2016-04"	183	87
"2017-01"	169	69
"2017-02"	187	65
"2017-03"	161	55
"2017-04"	163	83
"2018-01"	178	51
"2018-02"	177	57
"2018-03"	195	51
"2018-04"	172	93
"2019-01"	129	65
"2019-02"	152	50
"2019-03"	149	59
"2019-04"	137	116
"2020-01"	132	71
"2020-02"	131	34
"2020-03"	121	28
"2020-04"	109	56
"2021-01"	124	32
"2021-02"	117	42
"2021-03"	119	47
"2021-04"	120	90
"2022-01"	128	62
"2022-02"	118	47
"2022-03"	125	77
"2022-04"	120	113
"2023-01"	117	78
"2023-02"	125	62
"2023-03"	124	74
"2023-04"	125	105
"2024-01"	126	55
"2024-02"	118	43
"2024-03"	129	47
"2024-04"	127	93

