""	"Verarbeitendes Gewerbe"	"Bau, Energie und Wasser"	"Grosshandel"	"Detailhandel"	"Verkehr und Lagerei"	"Information, Kommunikation"	"Gastronomie, Hotellerie"	"Finanzen, Versicherung, Immobilien"	"Unternehmens-DL, Freiberufe"	"Sonstige DL"	"Öff. Verwaltung, Bildung"	"Gesundheits-, Sozialwesen"	"Kunst, Unterhaltung, Sport"	"Schönheitspflege, sonst. pers. DL"	"Übrige Branchen"
"Innenstadt"
"Innenstadt: 2013"	141	76	120	673	56	215	306	293	854	330	231	609	205	323	11
"Innenstadt: 2015"	148	74	120	648	59	224	299	314	915	305	240	657	217	328	10
"Innenstadt: 2017"	147	60	111	615	45	211	303	287	930	295	245	698	213	335	12
"Innenstadt: 2019"	148	57	92	592	41	214	296	284	946	296	253	710	203	340	7
"Innenstadt: 2021"	143	65	89	551	39	218	300	285	939	311	246	746	203	338	6
"Innenstadt: 2022"	128	70	89	558	37	224	310	289	933	314	246	803	230	333	7
.
"Stadt Basel"
"Stadt Basel: 2013"	616	790	480	1473	632	842	782	958	2866	1078	875	2149	1090	865	147
"Stadt Basel: 2015"	638	802	475	1428	599	878	799	964	3156	1061	921	2316	1288	888	139
"Stadt Basel: 2017"	626	755	412	1375	564	860	807	919	3176	1084	920	2362	1246	891	140
"Stadt Basel: 2019"	622	756	348	1282	524	908	789	906	3252	1107	982	2423	1256	914	134
"Stadt Basel: 2021"	611	757	356	1243	480	926	792	913	3337	1172	1033	2450	1291	940	137
"Stadt Basel: 2022"	608	761	369	1268	486	959	797	920	3451	1216	1042	2583	1437	968	137

