""	"Innenstadt"	"Stadt Basel"
"Verarbeitendes Gewerbe"	-0.0272108844	-0.0239616613
"Bau, Energie und Wasser"	0.0833333333	0.0026490066
"Grosshandel"	-0.1981981982	-0.1359223301
"Detailhandel"	-0.1040650407	-0.0960000000
"Verkehr und Lagerei"	-0.1333333333	-0.1489361702
"Information, Kommunikation"	0.0331753555	0.0767441860
"Gastronomie, Hotellerie"	-0.0099009901	-0.0185873606
"Finanzen, Versicherung, Immobilien"	-0.0069686411	-0.0065288357
"Unternehmens-DL, Freiberufe"	0.0096774194	0.0506926952
"Sonstige DL"	0.0542372881	0.0811808118
"Öff. Verwaltung, Bildung"	0.0040816327	0.1228260870
"Gesundheits-, Sozialwesen"	0.0687679083	0.0372565622
"Kunst, Unterhaltung, Sport"	-0.0469483568	0.0361155698
"Schönheitspflege, sonst. pers. DL"	0.0089552239	0.0549943883
"."		
"Total"	-0.0062125582	0.0186527855

