Veranstaltungstage	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Barfüsserplatz (inkl. Theaterplatz)	33	28	35	37	40	37	41	51	35	38	47	5	16
Marktplatz	14	15	12	3	2	16	15	23	18	10	17	0	0
Münsterplatz	19	43	45	42	54	60	53	54	48	48	55	38	20
Oberer Rheinweg	21	24	20	21	23	23	28	24	21	3	19	17	0
Unterer Rheinweg	8	10	3	15	10	6	8	5	8	11	5	3	0
Kaserne (Belegungstage)	88	108	130	112	136	114	136	123	129	136	88	25	67
Kontingent Barfüsserplatz (inkl. Theaterplatz)	70	70	70	70	70	70	70	70	70	70	70	70	70
Kontingent Marktplatz	40	40	40	40	40	40	40	40	40	40	40	40	0
Kontingent Münsterplatz	60	60	60	60	60	60	60	60	60	60	60	60	60
Kontingent Oberer Rheinweg	30	30	30	30	30	30	30	30	30	30	30	30	0
Kontingent Unterer Rheinweg	50	50	50	50	50	50	50	50	40	50	50	50	0
Kontingent Kaserne (Belegungstage)	80	80	160	160	160	160	160	160	160	160	160	160	160
