lärmintensive Veranstaltungstage	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Barfüsserplatz (inkl. Theaterplatz)	26	19	28	27	28	23	30	32	24	22	24	3	16
Marktplatz	2	4	7	1	0	4	2	5	4	0	1	0	0
Münsterplatz	16	41	44	40	48	45	47	44	46	45	48	17	17
Oberer Rheinweg	19	21	18	19	21	20	17	19	18	1	18	17	0
Unterer Rheinweg	6	7	1	3	3	2	2	0	2	3	2	0	0
Kaserne	24	28	39	34	38	40	40	38	40	38	31	2	20
Kontingent Barfüsserplatz (inkl. Theaterplatz)	40	40	40	40	40	40	40	40	40	40	40	40	40
Kontingent Marktplatz	20	20	20	20	20	20	20	20	20	20	20	20	0
Kontingent Münsterplatz	50	50	50	50	50	50	50	50	50	50	50	50	50
Kontingent Oberer Rheinweg	25	25	25	25	25	25	25	25	25	25	25	25	0
Kontingent Unterer Rheinweg	30	30	30	30	30	30	30	30	20	30	30	30	0
Kontingent Kaserne	40	40	40	40	40	40	40	40	40	40	40	40	40
