Jahr	Abfallentsorgung	Alkohol/Drogen	Bettelei/Obdachlosigkeit	Demonstration	Diebstahl	Lärm	Körperverletzung	Prostitution	Raub/Überfall	Strassenmusik	Sachbeschädigung/Vandalismus
2013	2	165	55	35	61	288	246	12	53	108	157
2014	2	176	80	50	54	276	257	16	29	87	143
2015	9	144	117	17	45	345	264	14	24	96	105
2016	5	177	113	50	34	428	229	14	28	59	131
2017	6	170	71	49	22	469	211	11	22	57	121
2018	3	192	109	42	29	538	223	5	20	62	112
2019	5	165	95	65	39	526	244	6	16	64	130
2020	8	164	149	54	38	535	174	8	37	42	119
2021	5	147	188	96	33	408	220	4	28	64	113
2022	1	148	114	63	49	329	241	12	34	69	98
2023	4	129	116	48	65	342	215	9	55	139	74
