JAHR	 Zugezogene Innenstadt	 Weggezogene Innenstadt (Steuerertrag des Vorjahres)	 Zugezogene Kanton BS	 Weggezogene Kanton BS (Steuerertrag des Vorjahres)
2008	3 926 280	3 235 830	36 342 225	38 301 008
2009	5 089 099	3 762 947	40 204 888	35 953 445
2010	4 349 045	2 791 094	41 023 658	30 361 202
2011	4 156 840	5 557 410	42 434 449	38 016 163
2012	6 333 451	3 246 948	47 603 356	33 966 967
2013	8 322 403	4 506 023	50 361 806	38 016 093
2014	5 610 290	3 772 080	43 194 399	39 064 442
2015	5 385 968	2 812 328	46 212 499	42 594 222
2016	4 658 008	3 929 140	47 068 349	39 843 084
2017	4 190 524	4 337 738	46 705 062	39 915 993
2018	5 816 128	3 204 770	51 124 035	38 267 552
2019	5 005 036	3 451 660	49 240 280	43 049 166
2020	4 788 965	4 279 799	46 174 940	41 758 053
2021	5 193 019	4 292 182	46 997 977	45 005 976






