	2013	2014	2015	2016	2017	2018	2019	2020	2021
Elisabethenstrasse 46: Mo-Fr	0	0	0	2328	2498	2407	2377	1662	1687
Elisabethenstrasse 46: Sa	0	0	0	1773	2022	1937	2022	1289	1399
Gerbergasse: Mo-Fr	11817	12833	11734	12137	11522	11019	10558	7889	7532
Gerbergasse: Sa	17097	18188	15871	16559	16278	15296	15643	10816	10242
Johanniterbrücke: Mo-Fr	0	2366	2230	2237	2544	2221	0	2137	2138
Johanniterbrücke: Sa	0	2257	2135	2174	2523	2201	0	2208	2156
Mittlere Rheinbrücke: Mo-Fr	15314	16704	16777	13981	17244	11238	12298	9877	11710
Mittlere Rheinbrücke: Sa	22562	23033	22820	20215	23663	18111	19305	14288	17839
Rebgasse 11/28: Mo-Fr	5527	5759	6094	6163	6360	6069	5415	4478	4856
Rebgasse 11/28: Sa	5169	5342	5070	4989	5107	5079	4564	3786	4669
Wettsteinbrücke: Mo-Fr	0	0	0	0	3999	3967	4545	3516	3902
Wettsteinbrücke: Sa	0	0	0	0	4314	4432	4941	3711	4464
