	2019	2020	2021	2022
0-1h	0.1809776675	0.1288380764	0.1367529400	0.1818791400
1-2h	0.1574831852	0.1132773573	0.1302670773	0.1570656053
2-3h	0.1404845735	0.1068336398	0.1259402282	0.1493436272
3-4h	0.1331453693	0.1053129542	0.1263745042	0.1339524037
4-5h	0.1284593870	0.1199835832	0.1450923006	0.1492156203
5-6h	0.1453662596	0.1485165097	0.1627552751	0.1708627123
6-7h	0.1738659842	0.1776904763	0.2001535169	0.2042919872
7-8h	0.2256370582	0.2370454470	0.2740006857	0.2532330070
8-9h	0.3203488204	0.3008375070	0.3680989287	0.3456380430
9-10h	0.4218202566	0.3746597755	0.4387254528	0.4277391457
10-11h	0.5177519470	0.4221674780	0.4913230027	0.5154173210
11-12h	0.5885390353	0.4482267588	0.5120699423	0.5601322971
12-13h	0.6361295114	0.4798890882	0.5414066969	0.5994496027
13-14h	0.6697065153	0.4895948316	0.5621835484	0.6699335460
14-15h	0.6699246670	0.4734128059	0.5098776758	0.5946529241
15-16h	0.6038526836	0.3945513909	0.4048191364	0.5579310615
16-17h	0.5072811973	0.3239862617	0.3632980297	0.4615791910
17-18h	0.4476871895	0.2826796579	0.3338378410	0.4604957441
18-19h	0.4347798925	0.2867530258	0.3334295568	0.4352480644
19-20h	0.4388078312	0.2930102058	0.3208742177	0.4378309139
20-21h	0.4383931931	0.2952418139	0.3102893743	0.4389003958
21-22h	0.4139261711	0.2578885218	0.2409399516	0.3843193406
22-23h	0.3576368778	0.2069284136	0.1993952408	0.3307326527
23-24h	0.2879665531	0.1780432761	0.1773812957	0.2684103429
