	Landwirtschaftl. Erzeugnisse	Nahrungs- und Futtermittel	Feste mineralische Brennstoffe	Erdöl, Mineralölerzeugnisse	Erze und Metallabfälle	Eisen, Stahl, Nichteisen-Metalle	Steine, Erden, Baustoffe	Düngemittel	Chemische Erzeugnisse	Fahrzeuge, Maschinen, Übrige	Gesamt
2014	25319	68403	0	247516	80862	72110	191548	0	147290	271530	1104578
2015	32585	62097	22	281117	62932	52361	177069	2	128644	242425	1039254
2016	36304	89767	0	211000	75568	41058	141256	1311	144951	292470	1033685
2017	50012	90733	0	160235	84248	41952	179437	207	159551	294648	1061023
2018	44707	74179	0	65168	71643	58128	242435	0	120981	252295	929536
2019	51136	72088	0	59017	121464	31376	308284	43	125422	242345	1011175
2020	34003.41	85570.968	3.036	22606.581	132373.464	18990.857	259675.881	75.88	68885.747	224394.33	846580.154
2021	34017.432	88425.342	0	34993.668	88580.283	59755.42	303285.331	51.06	54189.859	259336.78	922635.175
2022	25979.638	100738.143	0	53964.558	121333.217	10258.421	242453.986	5.45	39919.118	280303.167	874955.698
2023	17821.311	81280.661	0	42607.536	144071.809	10812.168	267641.970	0	38593.218	208428.246	811256.919
2024	31651.196	84756.747	0	52507.927	195706.328	10675.797	314227.209	0	59315.728	211110.298	959951.230
