	Benzin-el.: Normal-Hybrid	Benzin-el.: Plug-in-Hybrid	Diesel-el.: Normal-Hybrid	Diesel-el.: Plug-in-Hybrid	Elektrisch	Anteil (rechte Skala)
2005	5	0	0	0	14	0.03
2006	9	0	0	0	10	0.03
2007	57	0	0	0	10	0.1
2008	201	0	0	0	10	0.32
2009	251	0	0	0	8	0.4
2010	319	0	0	0	8	0.49
2011	379	0	0	0	18	0.6
2012	454	1	8	0	24	0.72
2013	582	3	16	1	42	0.96
2014	646	4	20	2	61	1.09
2015	703	18	27	4	86	1.27
2016	838	41	29	5	134	1.59
2017	923	77	36	7	177	1.84
2018	1023	121	47	4	237	2.16
2019	1189	211	104	4	376	2.87
2020	1474	478	204	6	587	4.26
2021	2045	599	462	16	902	6.24
