Jahr	Anteil erneuerbare Energie	Zielpfad	Zielbereich	Zielbereich Obergrenze	Bewertung
2010	34.6				
2011					
2012	36.2				
2013					
2014	38				
2015					
2016	39.5				
2017					
2018	39.9				
2019		41.9	37.7	41.9	
2020	43.9	42.1	37.9	42.1	0
2021		42.5	38.3	42.5	
2022	43.9	43.1	39.1	43.1	0
2023		44.1	40.1	44.1	
2024		45.3	41.4	45.3	
2025		46.7	43.0	46.7	
2026		48.5	44.9	48.5	
2027		50.4	47.1	50.4	
2028		52.7	49.6	52.7	
2029		55.2	52.3	55.2	
2030		58.0	55.4	58.0	
2031		61.1	58.7	61.1	
2032		64.4	62.4	64.4	
2033		68.0	66.3	68.0	
2034		71.8	70.6	71.8	
2035		76.0	75.1	76.0	
2036		80.3	79.9	80.3	
2037		85.0	85.0	85.0	
