Jahr	Veränderung Arbeitslosenquote Basel-Stadt	Veränderung Arbeitslosenquote Schweiz	Bewertung	Arbeitslosenquote Basel-Stadt	Arbeitslosenquote  Schweiz
1998				3.7	3.9
1999	-1.2	-1.2		2.5	2.7
2000	-0.4	-0.9		2.1	1.8
2001	0.1	-0.1		2.2	1.7
2002	0.8	0.9		3	2.6
2003	1.3	1.1		4.3	3.7
2004	0.3	0.2		4.6	3.9
2005	-0.5	-0.1		4.1	3.8
2006	-0.4	-0.5		3.7	3.3
2007	-0.5	-0.5		3.2	2.8
2008	-0.2	-0.2		3	2.6
2009	0.8	1.1		3.8	3.7
2010	0.4	-0.2		4.2	3.5
2011	-0.5	-0.7		3.7	2.8
2012	0	0.1		3.7	2.9
2013	0	0.3		3.7	3.2
2014	-0.3	-0.2		3.4	3
2015	0.3	0.2		3.7	3.2
2016	0.2	0.1		3.9	3.3
2017	-0.3	-0.2		3.6	3.1
2018	-0.3	-0.5		3.3	2.6
2019	-0.3	-0.3		3	2.3
2020	0.9	0.9	0	3.9	3.2
2021	0	-0.2	1	3.9	3
2022	-0.8	-0.8	0	3.1	2.2
2023	-0.1	-0.2	1	3	2
2024	0.7	0.4	1	3.7	2.4
