Jahr	Anzahl Schiffe	Bruttoregistertonnen (BRT, rechte Skala)
1941	8	29008
1942	11	39469
1943	12	41397
1944	13	48456
1945	10	38396
1946	6	28075
1947	9	39691
1948	12	40666
1949	16	48520
1950	20	70705
1951	27	89143
1952	36	131719
1953	34	125088
1954	31	103874
1955	25	86855
1956	23	93880
1957	22	97085
1958	23	109405
1959	27	138684
1960	26	139693
1961	29	162519
1962	33	175401
1963	32	169223
1964	30	161039
1965	31	182727
1966	32	194172
1967	33	204616
1968	31	198373
1969	31	202292
1970	31	209151
1971	32	218675
1972	30	212202
1973	27	237003
1974	26	209602
1975	27	243375
1976	27	235534
1977	25	236443
1978	29	248904
1979	32	279287
1980	30	294304
1981	31	313662
1982	33	319831
1983	33	355413
1984	34	345534
1985	34	364355
1986	29	320333
1987	28	355711
1988	22	255859
1989	20	216267
1990	22	296517
1991	23	367673
1992	22	345870
1993	21	337072
1994	18	297046
1995	20	380990
1996	20	400191
1997	20	444046
1998	17	405730
1999	20	423307
2000	20	424981
2001	24	501975
2002	26	568915
2003	26	614639
2004	23	431052
2005	25	469634
2006	28	521026
2007	32	581683
2008	35	640363
2009	35	614125
2010	37	704799
2011	40	774647
2012	40	778271
2013	44	804945
2014	46	869563
2015	47	929729
2016	50	1064253
2017	35	877084
2018	30	743080
2019	27	693553
2020	18	550382
2021	18	550382
2022	14	484707
2023	14	484707
2024	12	439313
