"Jahr"	"Carbamazepin"	"Diclofenac"	"Gabapentin"	"Metformin"	"Sulfamethoxazol"	"Valsartan"	"Venlafaxin"
2013	811.2	1022.7		12428.8	513	1390.9	393
2014	719.7	1069.2	1705.2	10434.8	470.2	1167.1	325.7
2015	641.4	998.6	1680.3	8152.5	420	1127.9	264.8
2016	699.3	1174.6	1936.1	9575.2	470.9	1499.9	363.2
2017	486.1	964.9	1619	7357.5	399.9	1181	314.4
2018	361.6	869.9	1587	8456	394.8	1200	334
2019	336.6	766.9	1476.6	8709.3	375.7	1055.2	329.2
2020	261.5	625.9	1322.6	6497.6	319.5	917	210
2021	248.6	679.6	1421	8887.4	365	1138.8	257.4
2022	184.8	431.6	1085.6	6073.4	265.6	980.5	205.7
2023	206	525	1119	6050	332	937	251
2024	215	652.1	1420.5	6722.8	454.5	1004	226.4
