Wohnviertel_Id	wohnviertel_name	Anzahl	Anteil
01	Altstadt Grossbasel	1	0.2557544757
02	Vorstädte	3	0.6535947712
03	Am Ring	10	0.8826125331
04	Breite	17	2.5796661608
05	St. Alban	48	4.2515500443
06	Gundeldingen	15	1.0706638116
07	Bruderholz	190	9.0952608904
08	Bachletten	140	5.631536605
09	Gotthelf	5	0.5144032922
10	Iselin	6	0.4163775156
11	St. Johann	9	0.5992010652
12	Altstadt Kleinbasel	4	1.5873015873
13	Clara	1	0.4385964912
14	Wettstein	15	2.1929824561
15	Hirzbrunnen	51	3.2217308907
16	Rosental	10	3.2786885246
17	Matthäus	10	0.8818342152
18	Klybeck	4	0.9367681499
19	Kleinhüningen	6	3.7735849057
20	Riehen	277	6.5952380952
30	Bettingen	40	12.658227848
