Jahr,Deutschland,Italien,Spanien,Türkei,Ehem Jugoslawien ohne SLO,Spanien,Mittel Südamerika,Maghreb und Ägypten,übriges AuslandTotal
2006,5.9,4.6,1.7,4.1,5.6,0.7,0.9,0.2,7.5,31.1
2007,6.5,4.4,1.6,3.9,5.2,0.8,0.9,0.3,7.8,31.3
2008,7,4.3,1.5,3.7,4.8,0.9,0.9,0.3,8.2,31.7
2009,7.5,4.2,1.5,3.6,4.6,1,1,0.3,8.8,32.5
2010,7.6,4.2,1.5,3.6,4.6,1,1,0.3,8.9,32.6
2011,7.7,4.2,1.5,3.5,4.5,1.2,1,0.3,9.4,33.4
2012,7.7,4.1,1.6,3.4,4.5,1.3,1,0.3,9.8,33.9
2013,7.9,4.2,1.7,3.4,4.4,1.5,1,0.3,10.2,34.6
2014,8,4.2,1.8,3.3,4.3,1.6,1,0.3,10.5,35
2015,8,4.2,1.9,3.2,4.2,1.7,1,0.3,10.7,35.3
