Jahr,Deutschland,Türkei,EU Oststaaten,Italien,Ehem Jugoslawien ohne SLO,Mittel und Südamerika,Spanien,Maghreb und Ägypten,übriges Ausland
2006,4735,5931,391,7772,8284,658,2736,237,5852
2007,5164,5675,385,7430,7710,661,2568,251,5977
2008,5536,5552,398,7208,7316,693,2482,241,6169
2009,5905,5499,406,7036,7099,716,2390,256,6569
2010,6332,5513,439,6886,7060,736,2334,269,6852
2011,6999,5518,446,6755,7036,750,2284,282,7308
2012,7691,5499,480,6634,7043,781,2242,297,7803
2013,8463,5470,544,6590,6944,802,2209,309,8328
2014,8719,5448,569,6453,6875,807,2181,303,8597
2015,9090,5375,614,6277,6809,845,2114,296,9061
