Jahr,Seit mind. 12 Jahren im gleichen Wohnviertel - geboren in der Schweiz,Seit mind. 12 Jahren im gleichen Wohnviertel - geboren im Ausland,Weniger als 12 Jahre im gleichen Wohnviertel - geboren in der Schweiz,Weniger als 12 Jahre im gleichen Wohnviertel - geboren im Ausland,Anzahl Schweizer (rechte Skala)
2006,52434,10738,55552,10302,129026
2007,51925,11044,55354,10688,129011
2008,51259,11316,55630,11023,129228
2009,50884,11505,54992,10987,128368
2010,50684,11723,54871,10923,128201
2011,50350,11982,54823,10826,127981
2012,50101,12103,54866,10862,127932
2013,49874,12396,54870,10767,127907
2014,49512,12609,54774,10797,127692
2015,48871,12757,55130,10859,127617
