Wohnviertel,Altersquotient 2015,Rang
Rosental,0.126899017,1
Matthäus,0.1688927187,2
Klybeck,0.2014227642,3
Gundeldingen,0.2169818428,4
St. Johann,0.2272119544,5
Iselin,0.2552763819,6
Altstadt Kleinbasel,0.2751599767,7
Kleinhüningen,0.2821782178,8
Altstadt Grossbasel,0.2966150316,9
Wettstein,0.3052230686,10
Clara,0.3268438787,11
Breite,0.3311619718,12
Gotthelf,0.3506920009,13
Am Ring,0.357468727,14
Bachletten,0.3713899472,15
Vorstädte,0.379525593,16
Bettingen,0.4207492795,17
Bruderholz,0.4418511066,18
Hirzbrunnen,0.4476663357,19
Riehen,0.4886212698,20
St. Alban,0.4914786561,21
