Jahr,Ausland,Deutschland,Italien,Spanien,Türkei,Ehem. Jugoslawien ohne SLO,Maghreb und Ägypten,EU-Oststaaten,Mittel- und Südamerika
2006,51.64375578,56.17362758,19.90399251,64.01273885,13.95591496,7.256062631,38.70967742,78.0089153,61.06870229
2007,53.84077855,60.30233322,28.12956649,77.10597826,10.03574374,10.35578796,36.09341826,65.34653465,59.06432749
2008,51.26070013,62.14731773,18.13024174,39.14097679,7.433881344,6.867982121,30.80082136,69.46876824,46.36871508
2009,49.22418406,50.17971668,15.56081165,36.90807799,8.932493777,10.53108368,43.20987654,69.25498426,37.05664373
2010,54.33592996,61.16929052,16.21621622,30.51317614,10.78605201,6.990602796,37.54940711,60.56056056,52.87713841
2011,53.91996256,63.75545852,15.13256628,25.96964587,8.775844117,7.822385828,38.53564547,45.76856649,60.14644351
2012,52.8026615,64.96023525,12.54862593,23.21831667,9.17155315,6.700554529,22.55639098,37.64886669,39.40149626
2013,58.32543818,59.9805258,18.10344828,30.86053412,8.334596151,8.331377611,14.54545455,42.40162822,55.61072493
2014,55.10402885,60.9475032,15.89805825,26.76331196,8.8834431,7.822685789,28.30188679,39.10614525,35.67888999
2015,58.55978847,60.73876618,20.5974464,25.87850722,8.291614518,9.4997595,26.50176678,56.3625799,42.72230502
