Wohnviertel,Arbeitslosenquote 2015,Rang
Altstadt Grossbasel,0.0152577544,1
Riehen,0.0193855888,2
Bettingen,0.0193855888,2
Bachletten,0.0208221466,4
Bruderholz,0.0217801474,5
Vorstädte,0.0242808282,6
Gotthelf,0.0273422872,7
Am Ring,0.0273742642,8
St. Alban,0.0295674895,9
Hirzbrunnen,0.0369978956,10
Altstadt Kleinbasel,0.0375301588,11
Gundeldingen,0.0392068343,12
Wettstein,0.0401573444,13
Iselin,0.0459342343,14
Breite,0.0462277709,15
St. Johann,0.0485466598,16
Clara,0.0502164591,17
Matthäus,0.0506528739,18
Kleinhüningen,0.0623085841,19
Rosental,0.0665948747,20
Klybeck,0.068902559,21
