Wohnviertel,Fläche pro Wohnung 2015,Rang
Klybeck,65.596241611,1
Kleinhüningen,70.403690037,7
Riehen,102.8827326,19
Bettingen,121.24096386,21
Altstadt Grossbasel,90.383055757,16
Vorstädte,82.064324002,13
Am Ring,82.223343643,14
Breite,69.808843406,6
St. Alban,93.616527846,18
Gundeldingen,70.454019874,8
Bruderholz,109.42018349,20
Bachletten,93.209538376,17
Gotthelf,75.194288504,11
Iselin,68.61622807,4
St. Johann,71.766733068,9
Altstadt Kleinbasel,72.425378041,10
Clara,67.242647059,2
Wettstein,83.063306699,15
Hirzbrunnen,81.240291262,12
Rosental,69.534114202,5
Matthäus,67.272074741,3
